ID	Gene symbol ID_1	Gene description	Gene symbol	Gene symbol ID	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.bh.pval	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.stat
ENSG00000008952		Translocation protein SEC62 (Translocation protein 1)(TP-1)(hTP-1) [Source:UniProtKB/Swiss-Prot;Acc:Q99442]	SEC62	SEC62	2491.87179380329	5.72139398136432E-12	-1.56284926235892	0.0892069292046382	5.1541169577163E-13	-7.2211726385881
ENSG00000009844		Vacuolar protein sorting-associated protein VTA1 homolog (Dopamine-responsive protein DRG-1) [Source:UniProtKB/Swiss-Prot;Acc:Q9NP79]	VTA1	VTA1	853.69740635463	0.973116868420764	-1.00784786448269	0.215841836130365	0.958328964235094	-0.0522506637077496
ENSG00000010017		Ran-binding protein 9 (RanBP9)(RanBP7)(Ran-binding protein M)(RanBPM)(BPM90)(BPM-L) [Source:UniProtKB/Swiss-Prot;Acc:Q96S59]	RANBP9	RANBP9	1332.98645993195	2.14462391783671E-6	1.47295212102795	0.110385467144615	4.16079605912958E-7	5.06145011781244
ENSG00000010244		Zinc finger protein 207  [Source:UniProtKB/Swiss-Prot;Acc:O43670]	ZNF207	ZNF207	2285.13078570616	0.127367454894765	-1.32663687050724	0.232832787416207	0.0798842904070849	-1.7513578397614
ENSG00000013441		Dual specificity protein kinase CLK1 (EC 2.7.12.1)(CDC-like kinase 1) [Source:UniProtKB/Swiss-Prot;Acc:P49759]	CLK1	CLK1	741.696904635479	5.24001891209963E-4	-3.23928252472012	0.449888532423801	1.63838066025422E-4	-3.76909874518548
ENSG00000026025		Vimentin  [Source:UniProtKB/Swiss-Prot;Acc:P08670]	VIM	VIM	40373.6256973165	1.44530725289032E-93	-2.04775594212765	0.0496933776936775	3.62642855844596E-96	-20.8084825127139
ENSG00000034510		Thymosin beta-10  [Source:UniProtKB/Swiss-Prot;Acc:P63313]	TMSB10	TMSB10	18668.8984708266	0.225031722153697	-1.231696565451	0.212129990413513	0.156402055696787	-1.41727666206122
ENSG00000047849		Microtubule-associated protein 4 (MAP-4) [Source:UniProtKB/Swiss-Prot;Acc:P27816]	MAP4	MAP4	6761.56572096997	0.300083445919148	-1.18485548918862	0.199330179926771	0.219571947101028	-1.22766713876371
ENSG00000049245		Vesicle-associated membrane protein 3 (VAMP-3)(Synaptobrevin-3)(Cellubrevin)(CEB) [Source:UniProtKB/Swiss-Prot;Acc:Q15836]	VAMP3	VAMP3	2490.03325968436	9.53824280484257E-6	-1.31146099340927	0.0824396391365845	2.0852119640534E-6	-4.74498557335131
ENSG00000050748		Mitogen-activated protein kinase 9 (EC 2.7.11.24)(Stress-activated protein kinase JNK2)(c-Jun N-terminal kinase 2)(JNK-55) [Source:UniProtKB/Swiss-Prot;Acc:P45984]	MAPK9	MAPK9	1023.10573075176	0.0820862672928826	-1.24142392897361	0.157949384356794	0.0482352327435312	-1.9752901293667
ENSG00000051108		Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q15011]	HERPUD1	HERPUD1	1126.8366454305	0.806882537041122	1.12876665441562	0.532839491280744	0.742945830949397	0.327954810036571
ENSG00000054118		Thyroid hormone receptor-associated protein 3 (Thyroid hormone receptor-associated protein complex 150 kDa component)(Trap150) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y2W1]	THRAP3	THRAP3	3393.19076111052	0.512262895226807	1.0786518486167	0.13557321792718	0.420424585803305	0.805684852332159
ENSG00000055130		Cullin-1 (CUL-1) [Source:UniProtKB/Swiss-Prot;Acc:Q13616]	CUL1	CUL1	1528.77817401255	0.0134945882921015	1.43056531524139	0.188578688744073	0.00615584780366524	2.73936239377244
ENSG00000060762		Brain protein 44-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y5U8]	BRP44L	MPC1	239.769597546384	0.0755545726843612	1.47950854526304	0.280378631717776	0.0438467249005965	2.01555313160381
ENSG00000063046		Eukaryotic translation initiation factor 4B (eIF-4B) [Source:UniProtKB/Swiss-Prot;Acc:P23588]	EIF4B	EIF4B	6953.36861113834	0.0084196042988982	-2.01580271825405	0.3477462761268	0.0036338631294988	-2.90831138130343
ENSG00000065427		Lysyl-tRNA synthetase (EC 6.1.1.6)(Lysine--tRNA ligase)(LysRS) [Source:UniProtKB/Swiss-Prot;Acc:Q15046]	KARS	KARS	2527.74368150472	0.0952684781464933	1.26088444822776	0.17582132226462	0.0571533759629145	1.90213600886589
ENSG00000066044		ELAV-like protein 1 (Hu-antigen R)(HuR) [Source:UniProtKB/Swiss-Prot;Acc:Q15717]	ELAVL1	ELAVL1	1419.05246976857	0.0177456475080305	1.53319424328966	0.233858255044536	0.00837945022758801	2.63638538751763
ENSG00000067225		Pyruvate kinase isozymes M1/M2 (EC 2.7.1.40)(Pyruvate kinase muscle isozyme)(Pyruvate kinase 2/3)(Cytosolic thyroid hormone-binding protein)(CTHBP)(THBP1) [Source:UniProtKB/Swiss-Prot;Acc:P14618]	PKM2	PKM	31985.0489318602	0.0264954757493378	-1.62061662450062	0.281163692035171	0.0132359430453188	-2.47735701602193
ENSG00000067829		Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial Precursor (EC 1.1.1.41)(Isocitric dehydrogenase)(NAD(+)-specific ICDH) [Source:UniProtKB/Swiss-Prot;Acc:P51553]	IDH3G	IDH3G	630.300638536939	0.684879304878782	-1.03574985345177	0.0976910381522435	0.603946582489222	-0.518733520993689
ENSG00000078668		Voltage-dependent anion-selective channel protein 3 (VDAC-3)(hVDAC3)(Outer mitochondrial membrane protein porin 3) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y277]	VDAC3	VDAC3	924.378578992164	0.483496342784998	1.17612421251113	0.273278527193478	0.391767048775444	0.856417209728484
ENSG00000079616		Kinesin-like protein KIF22 (Kinesin-like DNA-binding protein)(Kinesin-like protein 4) [Source:UniProtKB/Swiss-Prot;Acc:Q14807]	KIF22	KIF22	489.120834843474	3.40229632098754E-6	3.02344315081561	0.321409149649976	6.82662288929834E-7	4.96623215077241
ENSG00000079805		Dynamin-2 (EC 3.6.5.5) [Source:UniProtKB/Swiss-Prot;Acc:P50570]	DNM2	DNM2	1935.30107497418	1.48959429871965E-10	1.6756591769539	0.110501679103985	1.58906134011534E-11	6.73952419488022
ENSG00000081154		PEST proteolytic signal-containing nuclear protein (PEST-containing nuclear protein)(PCNP) [Source:UniProtKB/Swiss-Prot;Acc:Q8WW12]	PCNP	PCNP	2326.44639794998	0.212773866718188	-1.15541608684649	0.143456153990742	0.146280480591934	-1.45279572023396
ENSG00000081665		Zinc finger protein 93 (Zinc finger protein 505)(Zinc finger protein HTF34) [Source:UniProtKB/Swiss-Prot;Acc:P35789]	ZNF93	ZNF506	92.5533236687536	4.87563554016658E-47	16.1470723715099	0.272972968380181	6.27459369394162E-49	14.7018246240396
ENSG00000085872		Calcium homeostasis endoplasmic reticulum protein (SR-related CTD associated factor 6)(ERPROT 213-21) [Source:UniProtKB/Swiss-Prot;Acc:Q8IWX8]	CHERP	CHERP	1229.55979572542	0.0230648161349471	1.45589149801336	0.213815424385206	0.011262649594669	2.53444223023446
ENSG00000086589		Pre-mRNA-splicing factor RBM22 (RNA-binding motif protein 22)(Zinc finger CCCH domain-containing protein 16) [Source:UniProtKB/Swiss-Prot;Acc:Q9NW64]	RBM22	RBM22	1047.26496831015	0.00337805416182769	-1.33742230668247	0.130495179149894	0.00130747511144152	-3.21433395376409
ENSG00000086666		AN1-type zinc finger protein 6 (Zinc finger A20 domain-containing protein 3)(Associated with PRK1 protein) [Source:UniProtKB/Swiss-Prot;Acc:Q6FIF0]	ZFAND6	ZFAND6	593.776349083224	0.915152025291022	1.02452549776016	0.227797686520571	0.878042258826368	0.153451469311699
ENSG00000087086		Ferritin light chain (Ferritin L subunit) [Source:UniProtKB/Swiss-Prot;Acc:P02792]	FTL	FTL	18272.5538963099	5.67591488772427E-9	3.29063959059945	0.279030353923389	7.35043611522366E-10	6.1583551712508
ENSG00000090487		Maspardin (Spastic paraplegia 21 autosomal recessive Mast syndrome protein)(Acid cluster protein 33) [Source:UniProtKB/Swiss-Prot;Acc:Q9NZD8]	SPG21	SPG21	913.826936844052	0.0358411921659422	1.31042850142437	0.165813245203312	0.0186588869292869	2.35227674445571
ENSG00000095059		Deoxyhypusine synthase (DHS)(EC 2.5.1.46) [Source:UniProtKB/Swiss-Prot;Acc:P49366]	DHPS	DHPS	445.596198313411	0.0734127711134109	1.33377690039233	0.204786198235453	0.0424552205265335	2.02903013992404
ENSG00000099341		26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit S14)(p31) [Source:UniProtKB/Swiss-Prot;Acc:P48556]	PSMD8	PSMD8	2368.69763290594	0.0201237419272657	1.51366131176291	0.231089192944042	0.00965548702103042	2.58792903547715
ENSG00000099817		DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1)(DNA-directed RNA polymerase II subunit E)(RPB5)(DNA-directed RNA polymerase II 23 kDa polypeptide)(XAP4) [Source:UniProtKB/Swiss-Prot;Acc:P19388]	POLR2E	POLR2E	1402.08224817919	0.0441688131419868	1.31762787641854	0.175904164954574	0.0236806328006897	2.26227152158034
ENSG00000100014		Cytospin-A (SPECC1-like protein)(Renal carcinoma antigen NY-REN-22) [Source:UniProtKB/Swiss-Prot;Acc:Q69YQ0]	SPECC1L	SPECC1L	1152.68156878167	1.83080976350062E-14	-1.61095669097459	0.0860352570831011	1.28771645850428E-15	-7.99576513648384
ENSG00000100030	MAPK1	Mitogen-activated protein kinase 1 (EC 2.7.11.24)(Extracellular signal-regulated kinase 2)(ERK-2)(Mitogen-activated protein kinase 2)(MAP kinase 2)(MAPK 2)(p42-MAPK)(ERT1) [Source:UniProtKB/Swiss-Prot;Acc:P28482]	MAPK1	MAPK1	2162.01689162786	0.0452031139665201	-1.19818365915487	0.115833503288274	0.0243266292807278	-2.25193105492086
ENSG00000100316		60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B)(TARBP-B) [Source:UniProtKB/Swiss-Prot;Acc:P39023]	RPL3	RPL3	15511.6655008356	7.62872029661484E-4	-1.68483878013308	0.205487450757507	2.49705195197234E-4	-3.66256209693617
ENSG00000100442		FK506-binding protein 3 (EC 5.2.1.8)(Peptidyl-prolyl cis-trans isomerase)(PPIase)(Rotamase)(25 kDa FKBP)(FKBP-25)(Rapamycin-selective 25 kDa immunophilin) [Source:UniProtKB/Swiss-Prot;Acc:Q00688]	FKBP3	FKBP3	897.444828062822	0.71494238305999	1.06152101845605	0.182491189455732	0.636938147336407	0.471984086501547
ENSG00000100568		Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1)(Vti1-rp1) [Source:UniProtKB/Swiss-Prot;Acc:Q9UEU0]	VTI1B	VTI1B	668.710927284914	0.333465085688983	1.15017588422687	0.175336484152901	0.249633231690603	1.15124068502287
ENSG00000100823		DNA-(apurinic or apyrimidinic site) lyase (EC 4.2.99.18)(Apurinic-apyrimidinic endonuclease 1)(AP endonuclease 1)(APEX nuclease)(APEN)(Protein REF-1) [Source:UniProtKB/Swiss-Prot;Acc:P27695]	APEX1	APEX1	2410.05322106362	0.829091771852254	1.0786451443232	0.373739483816509	0.77010580119599	0.292236506406398
ENSG00000101138		Cleavage stimulation factor 50 kDa subunit (CSTF 50 kDa subunit)(CF-1 50 kDa subunit)(CstF-50) [Source:UniProtKB/Swiss-Prot;Acc:Q05048]	CSTF1	CSTF1	739.918054775194	0.842209129649436	1.02078197543485	0.109602675072074	0.78658447163293	0.270748500265301
ENSG00000101367		Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1)(End-binding protein 1)(EB1) [Source:UniProtKB/Swiss-Prot;Acc:Q15691]	MAPRE1	MAPRE1	3269.63331534526	0.094207402534685	1.63151288547512	0.370141346853756	0.0563979587159493	1.90794783585826
ENSG00000102172		Spermine synthase (SPMSY)(EC 2.5.1.22)(Spermidine aminopropyltransferase) [Source:UniProtKB/Swiss-Prot;Acc:P52788]	SMS	SMS	2345.62422883011	3.92455189382231E-8	3.05119791028528	0.276340483924943	5.7494447007838E-9	5.82388703177824
ENSG00000103495		Myc-associated zinc finger protein (MAZI)(Purine-binding transcription factor)(Pur-1)(ZF87)(ZIF87) [Source:UniProtKB/Swiss-Prot;Acc:P56270]	MAZ	MAZ	1725.4077395596	0.490282268436627	1.07450396771749	0.122725525730982	0.398257616028328	0.844737143795524
ENSG00000104738		DNA replication licensing factor MCM4 (CDC21 homolog)(P1-CDC21) [Source:UniProtKB/Swiss-Prot;Acc:P33991]	MCM4	MCM4	1855.39865631902	0.158654777683233	1.78513198556628	0.513993735146838	0.103835089627407	1.6265387847542
ENSG00000104824		Heterogeneous nuclear ribonucleoprotein L (hnRNP L) [Source:UniProtKB/Swiss-Prot;Acc:P14866]	HNRNPL	HNRNPL	3546.19929341679	0.671920917963048	1.08310738061544	0.213979436921705	0.59039850144936	0.53825863960539
ENSG00000105058		Protein FAM32A  [Source:UniProtKB/Swiss-Prot;Acc:Q9Y421]	FAM32A	FAM32A	964.381472824683	0.184137803594901	1.1190711580607	0.105326041436727	0.123329852266111	1.5409463154408
ENSG00000105185		Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19)(Protein TFAR19) [Source:UniProtKB/Swiss-Prot;Acc:O14737]	PDCD5	PDCD5	1234.78287714628	0.00917182841672154	2.08864696102447	0.369199135190381	0.00400158593072774	2.87803669201127
