ID	Gene description	Gene_symbol_1	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000164736	SRY (sex determining region Y)-box 17	SOX17	V$SOX17_09	15.279761904761905	14.820354134433558	1.030998434056374	0.7616	0.08935026822576778
ENSG00000105323	heterogeneous nuclear ribonucleoprotein U-like 1	HNRNPUL1	V$HNRPUL1_01	15.666666666666666	14.866769812618188	1.053804347826087	0.9282	0.009797740015515796
ENSG00000100393	E1A binding protein p300	EP300	V$P300_Q5	10.505952380952381	9.96905621454358	1.0538562683221244	0.8755	0.02810393782461592
ENSG00000100823	APEX nuclease (multifunctional DNA repair enzyme) 1	APEX1	V$P300_Q5	10.505952380952381	9.96905621454358	1.0538562683221244	0.8755	0.02810393782461592
ENSG00000142556	zinc finger protein 614	ZNF614	V$ZNF614_03	30.51190476190476	28.770844077703284	1.0605147586042063	0.8137	1.2871584581181368E-4
ENSG00000108788	MLX, MAX dimerization protein	MLX	V$MLX_04	7.886904761904762	7.428227608733024	1.0617478592918306	0.8082	0.02971916275198488
ENSG00000140009	estrogen receptor 2 (ER beta)	ESR2	V$ERBETA_Q5,V$ER_Q6_02	10.008928571428571	9.46621970087674	1.0669796913018557	0.77965	0.02608895483662047
ENSG00000254004	zinc finger protein 260	ZNF260	V$ZNF260_04	26.815476190476193	25.08681450919718	1.068907181525389	0.7958	5.231264004395088E-5
ENSG00000105997	homeobox A3	HOXA3	V$ERFHOXA3_01	12.607142857142856	11.767233969400035	1.0713769174579983	0.6863	0.0030189376753321485
ENSG00000176302	forkhead box R1	FOXR1	V$FOXR1_01	12.023809523809524	11.220560426336599	1.0715872529492876	0.7889	0.003588545797738624
ENSG00000118260	cAMP responsive element binding protein 1	CREB1	V$CREB1_05	17.517857142857142	16.341756919374248	1.0719690195665894	0.813	5.460976618190036E-4
ENSG00000185278	zinc finger and BTB domain containing 37	ZBTB37	V$ZBTB37_01	18.214285714285715	16.960632628502662	1.0739154672613016	0.6758	3.175805144752503E-4
ENSG00000078900	tumor protein p73	TP73	V$P73_01,V$P73_Q6	14.452380952380953	13.477737665463298	1.0742730663868976	0.72725	0.0018854080310602898
ENSG00000103199	zinc finger protein 500	ZNF500	V$ZNF500_01	2.607142857142857	2.4136152656008254	1.0801816239316238	0.7585	0.08422534051707314
ENSG00000110777	POU class 2 associating factor 1	POU2AF1	V$OCAB_Q6	3.1607142857142856	2.9259068248237923	1.0802511750881316	0.7639	0.06400661742175871
ENSG00000125618	paired box 8	PAX8	V$PAX8_01,V$PAX_Q6	6.208333333333333	5.808836169847	1.0818821106814474	0.7833	0.033658615013804835
ENSG00000179909	zinc finger protein 154	ZNF154	V$ZNF154_01	2.303571428571429	2.123087502148874	1.08501012145749	0.753	0.08588359465219211
ENSG00000029153	aryl hydrocarbon receptor nuclear translocator-like 2	ARNTL2	V$ARNTLIKE_Q6	25.32142857142857	23.312704143029055	1.086164368409409	0.8146	1.565410891311443E-6
ENSG00000125533	basic helix-loop-helix family, member e23	BHLHE23	V$BHLHE23_04,V$BHLHE23_06	2.119047619047619	1.954615781330583	1.0868088999361332	0.8168	0.095948311430924
ENSG00000125878	transcription factor 15 (basic helix-loop-helix)	TCF15	V$TCF15_01	7.720238095238095	7.0878459687123945	1.0892220470531166	0.8665	0.004009292372396864
ENSG00000135373	ets homologous factor	EHF	V$EHF_03,V$EHF_10,V$EHF_11,V$EHF_Q6	12.574404761904763	11.522692109334708	1.0900342669071266	0.826075	0.007983253264844576
ENSG00000258405	zinc finger protein 578	ZNF578	V$ZNF578_01	2.988095238095238	2.7402441120852674	1.090448557089084	0.7684	0.048661463057310325
ENSG00000171606	zinc finger protein 274	ZNF274	V$NRIF_03,V$NRIF_04	4.175595238095238	3.825855251848031	1.0917476136184059	0.71985	0.02353784785977174
ENSG00000005801	zinc finger protein 195	ZNF195	V$ZNF195_01,V$ZNF195_02	2.636904761904762	2.4144748151968365	1.0922947286674276	0.7736000000000001	0.05800650040204643
ENSG00000088038	CCR4-NOT transcription complex, subunit 3	CNOT3	V$CNOT3_01	6.6309523809523805	6.066701048650507	1.093007934258997	0.792	0.0053312651519483245
ENSG00000171940	zinc finger protein 217	ZNF217	V$ZABC1_01	4.494047619047619	4.108647068935878	1.09380230125523	0.8914	0.01727335378207884
ENSG00000197857	zinc finger protein 44	ZNF44	V$ZNF44_02	2.392857142857143	2.181536874677669	1.0968676122931442	0.7778	0.057180924644433584
ENSG00000257591	zinc finger protein 625	ZNF625	V$ZNF625_02	3.803571428571429	3.467423070311157	1.0969447198810114	0.7848	0.022580422920660388
ENSG00000166860	zinc finger and BTB domain containing 39	ZBTB39	V$ZBTB39_01	1.6369047619047619	1.4921780986762936	1.0969902073732718	0.743	0.09706652762815893
ENSG00000215421	zinc finger protein 407	ZNF407	V$ZNF407_01	2.8511904761904763	2.59412068076328	1.0990970841616965	0.7857	0.03875803430469771
ENSG00000102034	E74-like factor 4 (ets domain transcription factor)	ELF4	V$ELF4_06,V$ELF4_07,V$ETS_Q6	8.932539682539682	8.11529425247837	1.099122101535855	0.8043666666666667	0.0028339652066641375
ENSG00000213999	myocyte enhancer factor 2B	MEF2B	V$MEF2B_03,V$MEF2B_04	8.895833333333334	8.096097644834106	1.099131745760062	0.86905	8.766824354131801E-4
