ID	Symbol	Sites view	Total count	V$SNA_Q4	V$AP1_Q4_01	V$AP1_01	V$CFOS_Q4	V$CFOS_Q6	V$BETACATENIN_Q3	V$RELBP52_01	V$JUN_09	V$FOXM1_Q3	V$MATH1_Q2	V$AP1_Q6_01	V$E2A_Q6_01	V$E2A_04	V$JUN_03	V$JUN_08	V$MYOD_Q6_01	V$E2A_Q6_02	V$E2A_Q2	V$STAT3STAT3_Q3	V$NFKAPPAB_01	V$MIZ1_01	V$BATFJUN_01	V$AP1_02	V$FOS_02	V$FOXM1_01	V$BETACATENIN_Q6_01	V$FOS_06	V$E12_Q6	V$TEAD4TCF3_01	V$JUNBFOS_01	V$RELA_08	V$TCF4_Q5_02	V$JUN_04	V$SNA_05	V$JUNFRA1_01	V$BETACATENIN_Q3_01	V$E47_02	V$FOS_11	V$JUN_06	V$FLI1TCF3_01	V$P50RELAP65_Q5_01	V$HOXB2TCF3_01	V$JUNDFOS_01	V$E2A_03	V$SNA_02	V$JUNBJUN_01	V$FOSJUN_02	V$BETACATENIN_Q6	V$E47_01	V$JUNFOSB_01	V$RELA_03	V$FOS_10	V$FOS_03	V$JUNFRA2_01	V$SNA_04	V$SNA_01	V$TAL1BETAE47_01	V$HAND1E47_01
ENSG00000196754	S100A2	DataElement[ENSG00000196754] class=class ru.biosoft.bsa.project.ProjectAsLists	190	0	0	0	0	0	0	1	0	1	0	0	0	0	1	2	0	2	1	0	0	0	5	2	2	0	0	4	3	5	7	2	0	7	3	6	0	3	4	6	0	3	3	9	3	3	10	8	2	5	9	8	7	11	10	3	3	8	18
ENSG00000173156	RHOD	DataElement[ENSG00000173156] class=class ru.biosoft.bsa.project.ProjectAsLists	173	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	3	0	2	10	4	0	0	0	0	4	4	2	4	3	0	5	5	0	0	4	0	0	0	12	3	4	4	6	4	5	0	5	5	22	0	3	5	6	6	7	21
ENSG00000156711	MAPK13	DataElement[ENSG00000156711] class=class ru.biosoft.bsa.project.ProjectAsLists	172	0	0	1	1	1	0	0	1	0	1	1	0	0	0	2	0	0	0	0	0	5	4	2	2	0	0	4	0	5	6	0	1	5	1	6	1	2	2	4	2	2	3	6	3	2	8	7	3	6	8	10	5	8	8	2	2	6	23
ENSG00000197249	SERPINA1	DataElement[ENSG00000197249] class=class ru.biosoft.bsa.project.ProjectAsLists	172	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	1	0	0	0	0	7	0	0	0	0	1	1	2	2	1	1	1	1	3	1	1	2	1	2	0	6	5	3	4	7	6	4	1	8	6	26	3	7	7	6	8	8	24
ENSG00000047410	TPR	DataElement[ENSG00000047410] class=class ru.biosoft.bsa.project.ProjectAsLists	168	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	1	1	0	0	7	5	2	2	0	0	3	1	0	5	2	0	5	1	4	0	1	4	5	2	0	2	7	1	2	9	8	2	2	9	13	6	17	10	1	2	6	14
ENSG00000105329	TGFB1	DataElement[ENSG00000105329] class=class ru.biosoft.bsa.project.ProjectAsLists	161	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	0	2	21	0	0	0	0	0	1	0	0	2	2	0	2	1	2	1	1	1	1	0	11	1	4	1	4	4	4	3	5	4	37	3	3	5	4	6	4	16
ENSG00000168685	IL7R	DataElement[ENSG00000168685] class=class ru.biosoft.bsa.project.ProjectAsLists	159	0	1	4	2	2	1	0	1	0	0	2	0	0	0	4	1	0	0	0	2	2	4	4	4	0	2	4	1	3	4	1	2	4	1	4	2	1	4	2	0	5	3	4	1	2	4	4	6	1	4	9	4	9	4	3	2	8	17
ENSG00000077312	SNRPA	DataElement[ENSG00000077312] class=class ru.biosoft.bsa.project.ProjectAsLists	148	0	1	1	1	0	0	1	0	0	0	1	0	0	0	2	0	1	1	0	0	2	4	2	2	0	1	4	1	1	4	2	2	4	2	3	2	1	1	3	1	1	3	6	1	4	7	5	2	4	5	11	5	7	6	4	4	4	18
ENSG00000132670	PTPRA	DataElement[ENSG00000132670] class=class ru.biosoft.bsa.project.ProjectAsLists	142	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	9	0	0	0	0	0	1	1	1	2	0	0	2	1	1	0	4	1	2	0	4	4	5	3	5	5	6	2	8	4	9	3	6	7	5	5	8	24
ENSG00000100106	TRIOBP	DataElement[ENSG00000100106] class=class ru.biosoft.bsa.project.ProjectAsLists	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	2	2	2	0	0	3	0	0	3	0	0	3	2	3	0	0	3	3	1	3	1	6	0	6	6	5	1	3	5	16	4	5	7	5	6	1	27
ENSG00000168056	LTBP3	DataElement[ENSG00000168056] class=class ru.biosoft.bsa.project.ProjectAsLists	141	0	1	1	1	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	1	7	2	2	2	0	1	2	0	0	2	1	1	2	0	2	1	0	2	2	1	5	1	2	0	4	3	2	2	3	3	28	2	2	2	2	5	1	36
ENSG00000077942	FBLN1	DataElement[ENSG00000077942] class=class ru.biosoft.bsa.project.ProjectAsLists	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	1	0	1	2	3	3	2	1	3	2	2	2	2	3	3	1	3	1	7	2	4	7	6	6	5	6	6	5	8	10	4	6	6	11
ENSG00000101849	TBL1X	DataElement[ENSG00000101849] class=class ru.biosoft.bsa.project.ProjectAsLists	136	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	3	2	0	0	0	0	1	1	3	2	5	0	3	1	2	1	0	1	1	2	5	6	3	1	8	4	4	1	8	4	11	1	2	6	8	7	6	19
ENSG00000182492	BGN	DataElement[ENSG00000182492] class=class ru.biosoft.bsa.project.ProjectAsLists	135	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	33	1	0	0	1	2	0	0	1	0	0	2	1	0	0	2	0	0	0	3	0	1	2	0	6	1	1	2	6	2	22	2	7	3	4	6	3	20
ENSG00000105855	ITGB8	DataElement[ENSG00000105855] class=class ru.biosoft.bsa.project.ProjectAsLists	134	0	0	0	0	0	0	0	0	0	0	0	0	4	1	2	0	0	1	0	3	5	0	0	0	1	3	1	0	1	2	3	4	1	1	1	4	1	1	1	0	6	1	3	4	7	2	2	6	6	1	16	2	8	2	8	8	4	7
ENSG00000163235	TGFA	DataElement[ENSG00000163235] class=class ru.biosoft.bsa.project.ProjectAsLists	130	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	2	2	2	0	0	2	1	2	2	0	0	2	1	3	0	1	2	0	1	2	2	3	1	5	5	5	1	5	5	19	3	1	5	4	5	6	26
ENSG00000135924	DNAJB2	DataElement[ENSG00000135924] class=class ru.biosoft.bsa.project.ProjectAsLists	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	13	2	0	0	0	0	3	0	1	4	1	0	3	0	2	0	0	0	1	1	7	2	4	0	1	9	5	1	3	7	18	2	8	5	1	2	3	18
ENSG00000171604	CXXC5	DataElement[ENSG00000171604] class=class ru.biosoft.bsa.project.ProjectAsLists	129	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	1	1	0	0	0	14	0	0	0	1	1	0	1	2	0	0	1	0	1	1	0	3	0	0	3	2	4	1	3	7	1	1	4	8	1	22	1	1	1	5	9	4	19
ENSG00000129682	FGF13	DataElement[ENSG00000129682] class=class ru.biosoft.bsa.project.ProjectAsLists	128	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	1	0	1	1	3	1	1	1	1	1	1	1	1	1	6	2	4	2	3	5	4	5	5	6	12	3	6	7	3	4	6	23
ENSG00000196352	CD55	DataElement[ENSG00000196352] class=class ru.biosoft.bsa.project.ProjectAsLists	127	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	13	2	0	0	0	1	1	1	0	2	1	1	2	2	1	0	1	0	1	2	5	1	4	1	4	6	2	3	3	5	20	3	8	5	5	6	3	10
