ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000001167	nuclear transcription factor Y, alpha	NFYA	V$NFYA_03,V$NFY_Q6_01	3.802083333333334	3.2972322503008424	1.165300066361623	0.77625	0.0511242922691094
ENSG00000005073	homeobox A11	HOXA11	V$HOXA11_01,V$HOXA11_06,V$HOXA11_08	0.18055555555555555	0.07220216606498196	8.724142156862746	0.9394333333333332	0.02196320839653923
ENSG00000005102	mesenchyme homeobox 1	MEOX1	V$MEOX1_06	0.2708333333333333	0.1444043321299639	1.8755208333333333	0.9931	0.05358118270773455
ENSG00000005513	SRY (sex determining region Y)-box 8	SOX8	V$SOX_Q6	0.08333333333333333	0.018050541516245487	4.616666666666666	0.9085	0.049088068318956096
ENSG00000005801	zinc finger protein 195	ZNF195	V$ZNF195_02	2.5833333333333335	2.10589651022864	1.2267142857142859	0.8075	0.03010323464997052
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_03,V$ZFX_04	0.7395833333333333	0.42418772563176893	2.9074007936507935	0.7621	0.01036132614235341
ENSG00000006194	zinc finger protein 263	ZNF263	V$FPM315_01,V$FPM315_02,V$FPM315_03,V$ZNF263_01,V$ZNF263_02,V$ZNF263_03,V$ZNF263_04	8.776785714285714	6.26095925734915	1.4323901317418137	0.7842714285714286	0.0011049194359700634
ENSG00000006468	ets variant 1	ETV1	V$ER81_05,V$GCM1ETV1_01,V$HOXD12ETV1_01,V$TFAP4ETV1_01	15.057291666666668	13.300240673886883	1.6061791202251254	0.79345	0.007939891615257887
ENSG00000007372	paired box 6	PAX6	V$PAX6_05_01,V$PAX6_11	0.125	0.03309265944645006	3.8953125	0.8444499999999999	0.02651114444589178
ENSG00000007866	TEA domain family member 3	TEAD3	V$TEAD3_02	0.125	0.048134777376654635	2.596875	0.9895	0.07154137586478378
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	14.145833333333334	11.08303249097473	2.8905620452538168	0.87415	4.963654698609075E-9
ENSG00000008196	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	TFAP2B	V$AP2BETA_Q3,V$AP2_Q3,V$AP2_Q4,V$AP2_Q6,V$AP2_Q6_01,V$TFAP2B_02,V$TFAP2B_03,V$TFAP2B_04,V$TFAP2B_05,V$TFAP2B_06	6.24375	5.238267148014441	1.90563228962128	0.92309	0.0028716367286505157
ENSG00000008197	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)	TFAP2D	V$AP2_Q4	3.25	2.503008423586041	1.2984375000000001	0.9666	0.003620000466508456
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	V$MYOGNF1_01,V$NF1FAMILY_Q4,V$NF1_Q6_02,V$NFIX_03	2.34375	1.990072202166065	2.630892052512018	0.926725	0.049454997477303086
ENSG00000009709	paired box 7	PAX7	V$PAX7_09	0.4375	0.246690734055355	1.7734756097560975	0.7623	0.025896209235279403
ENSG00000010030	ets variant 7	ETV7	V$ELK1ETV7_01,V$ERFETV7_01,V$ETS_Q4,V$ETV2ETV7_01,V$ETV5ETV7_01,V$ETV7_05,V$FLI1ETV7_01,V$GCM1ETV7_01,V$RFX3ETV7_01,V$TFAP2CETV7_01	5.983333333333333	5.16546329723225	1.5557629858429025	0.7305999999999999	0.02019886643558076
ENSG00000010818	human immunodeficiency virus type I enhancer binding protein 2	HIVEP2	V$MIBP1_Q6	7.125	6.197352587244284	1.1496844660194174	0.8332	0.014524144923237368
ENSG00000011590	zinc finger and BTB domain containing 32	ZBTB32	V$ZBTB32_01,V$ZBTB32_02	0.125	0.012033694344163659	10.3875	0.7246999999999999	0.0023170739186256133
ENSG00000012504	nuclear receptor subfamily 1, group H, member 4	NR1H4	V$FXRIR1_Q6,V$FXRRXRA_02,V$FXRRXR_Q5,V$FXR_01,V$FXR_02,V$FXR_Q2,V$LXR_Q6	2.851190476190476	2.4050197696407087	1.4325732946353518	0.8228857142857142	0.03412074473886916
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_01,V$ZNF582_02,V$ZNF582_04	0.3263888888888889	0.17448856799037304	2.1019823232323236	0.8189666666666667	0.03759941603654371
ENSG00000019549	snail homolog 2 (Drosophila)	SNAI2	V$SLUG_02,V$SLUG_04,V$SLUG_05,V$SLUG_07,V$SLUG_Q6_01	2.333333333333333	1.9061371841155235	1.2834515405838507	0.8370799999999999	0.04436822535064465
