ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000006704	GTF2I repeat domain containing 1	GTF2IRD1	V$BEN_01,V$BEN_02	3.952503390831856	3.3849129593810443	1.7651709669021385	0.9266	0.03331636653583761
ENSG00000009950	MLX interacting protein-like	MLXIPL	V$CHREB_Q6_01	0.054086888506120145	0.016118633139909737	3.3555505629196936	0.9434	0.013672067315715424
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_01,V$ZNF582_04	3.86721252818759	3.3816892327530628	1.6767901426494571	0.7604500000000001	2.2058087027649448E-4
ENSG00000025156	heat shock transcription factor 2	HSF2	V$HSF2_Q6	0.11649483678241261	0.06447453255963895	1.8068349184952195	0.8848	0.028895704209026724
ENSG00000029153	aryl hydrocarbon receptor nuclear translocator-like 2	ARNTL2	V$ARNTLIKE_Q6	0.029123709195603153	0.003223726627981947	9.034174592476099	0.9987	0.01494310938596633
ENSG00000050344	nuclear factor (erythroid-derived 2)-like 3	NFE2L3	V$MAF_Q6_01	0.058247418391206306	0.02256608639587363	2.5811927407074564	0.9553	0.028631013746762763
ENSG00000057657	PR domain containing 1, with ZNF domain	PRDM1	V$BLIMP1_02,V$BLIMP1_08,V$BLIMP1_10,V$BLIMP1_Q4,V$BLIMP1_Q6,V$BLIMP1_Q6_01,V$PRDM1_02,V$PRDM1_03,V$PRDM1_05,V$PRDM1_06,V$PRDM1_07	2.73687220440759	2.392884356133872	1.9256424910651497	0.8353818181818183	0.010903886212935553
ENSG00000067646	zinc finger protein, Y-linked	ZFY	V$ZFY_01,V$ZFY_02	2.0657030879452805	1.7633784655061249	2.1913993618160914	0.7519	0.001658527167429471
ENSG00000069011	paired-like homeodomain 1	PITX1	V$ETV2PITX1_01,V$GCM1PITX1_02,V$PITX1FIGLA_01,V$PITX1TBX21_01	1.7370212270234737	1.4829142488716958	1.5262716742819655	0.7749999999999999	0.039671237111291266
ENSG00000070476	ZXD family zinc finger C	ZXDC	V$ZXDL_01,V$ZXDL_02	2.5358429649600174	1.8923275306254028	4.539092349441011	0.8797999999999999	0.015163929606861502
ENSG00000072310	sterol regulatory element binding transcription factor 1	SREBF1	V$SREBF1_02,V$SREBP1_02,V$SREBP1_Q5,V$SREBP1_Q6,V$SREBP_Q6	14.571839869525784	14.074145712443585	1.6237993812296743	0.86676	0.0185174146899459
ENSG00000072736	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	NFATC3	V$NFATC3_01,V$NFAT_Q4_01	5.664561438544812	5.356221792392005	1.5615502658183555	0.92255	0.017864958655592976
ENSG00000075407	zinc finger protein 37A	ZNF37A	V$ZNF37A_02,V$ZNF37A_03	2.762591843697213	2.126047711154094	5.163854293672523	0.92025	0.007471554704489179
ENSG00000075426	FOS-like antigen 2	FOSL2	V$FOSL2_02,V$FRA2_01,V$FRA2_03,V$FRA2_04,V$FRA2_Q4_01,V$JUNBFRA2_01,V$JUNDFRA2_01,V$JUNFRA2_01	0.8248250497183321	0.633059316569955	1.5012048686668167	0.8943375	0.009774272424285614
ENSG00000080298	regulatory factor X, 3 (influences HLA class II expression)	RFX3	V$RFX1_Q6,V$RFX3ETV7_01,V$RFX3SRF_01,V$RFX3_06,V$RFX3_09,V$RFX_Q6_01	2.5663535174506493	2.094347732645605	1.5704856362477189	0.8235333333333333	0.02377815222700498
ENSG00000082641	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	V$MAF_Q4,V$MAF_Q6_01	6.636045166712432	6.126692456479691	1.8307827267379455	0.87005	0.014660671685321511
ENSG00000085276	MDS1 and EVI1 complex locus	MECOM	V$EVI1_09	0.20802649425430825	0.13217279174725982	1.573898012626498	0.7967	0.019832980951633807
ENSG00000087903	regulatory factor X, 2 (influences HLA class II expression)	RFX2	V$RFX2_01,V$RFX2_05,V$RFX2_07,V$RFX2_08,V$RFX_Q6_01	1.8023415462193264	1.5248226950354613	2.452354861570968	0.83786	0.02925181463154549
ENSG00000089225	T-box 5	TBX5	V$TBX2RELATED_Q6,V$TBX5CSX_Q5,V$TBX5_04,V$TBX5_Q2	1.129583863800894	0.9896840747904577	3.1107329223908686	0.8631499999999999	0.011040913488301824
