ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000004848	aristaless related homeobox	ARX	V$ARX_01,V$ARX_03	2.993939393939394	2.3418516966904064	1.7325152260919283	0.79905	0.0019658876283728498
ENSG00000005102	mesenchyme homeobox 1	MEOX1	V$MEOX1_02,V$MOX1_01	2.5393939393939395	1.7364893171344786	1.8031419457735247	0.8535999999999999	1.0038562258311182E-6
ENSG00000006377	distal-less homeobox 6	DLX6	V$DLX6_01	0.9333333333333333	0.5529953917050692	1.6877777777777776	0.9912	2.433851332012602E-4
ENSG00000009709	paired box 7	PAX7	V$PAX7_01,V$PAX7_03	1.8181818181818183	1.2505236698785087	1.7924552845528456	0.82785	0.0010995960087399079
ENSG00000010030	ets variant 7	ETV7	V$ELK1ETV7_01,V$ERFETV7_01,V$ETS_Q4,V$ETS_Q6,V$ETV2ETV7_01,V$ETV5ETV7_01,V$ETV7_01,V$ETV7_02,V$FLI1ETV7_01,V$FOXO1ETV7_01,V$GCM1ETV7_01,V$HOXB2ETV7_01,V$RFX3ETV7_01,V$TEAD4ETV7_01,V$TFAP2CETV7_01	5.616161616161617	4.807708420611648	1.6731358581076088	0.7603466666666666	0.010284093236671319
ENSG00000012504	nuclear receptor subfamily 1, group H, member 4	NR1H4	V$FXRRXRA_02,V$FXRRXR_Q5,V$FXR_01,V$FXR_02,V$FXR_Q2,V$NR1H4_02	0.8929292929292929	0.694735372154727	3.596606979878372	0.9042499999999999	0.03187351165049862
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_02,V$ZNF582_04	1.1151515151515152	0.8378718056137411	1.5366787559072428	0.7456	0.01107804379656184
ENSG00000037965	homeobox C8	HOXC8	V$HOXC8_01	0.787878787878788	0.34352744030163385	2.29349593495935	0.854	8.68989395989041E-7
ENSG00000043039	BARX homeobox 2	BARX2	V$BARX2_01	0.9333333333333333	0.49434436531210724	1.8880225988700565	0.8912	1.6786118885774236E-5
ENSG00000049768	forkhead box P3	FOXP3	V$FOXP3_01	0.14545454545454545	0.06284038542103058	2.3146666666666667	0.9891	0.026562083704756462
ENSG00000064195	distal-less homeobox 3	DLX3	V$DLX3_01,V$DLX3_04,V$DLX3_Q3,V$DLX3_Q6,V$ETV2DLX3_03,V$GCM2DLX3_01,V$TEAD4DLX3_01,V$TFAP2CDLX3_03	4.053030303030304	3.4719312945119394	1.6015634478480718	0.8601749999999999	0.008924525016005488
ENSG00000069667	RAR-related orphan receptor A	RORA	V$RORA1_01,V$RORA_06	0.32727272727272727	0.19689987431922917	1.9512233918128656	0.8210999999999999	0.02241501297048349
ENSG00000073282	tumor protein p63	TP63	V$P63_01,V$P63_03,V$TP63_01,V$TP63_02	4.639393939393939	3.9578969417679093	1.5238154406412305	0.74555	0.005453361065256772
ENSG00000073861	T-box 21	TBX21	V$E2F3TBX21_01,V$FOXJ3TBX21_01,V$GCM2TBX21_02,V$HOXB13TBX21_01,V$HOXB2TBX21_01,V$HOXD12TBX21_01,V$MYBL1TBX21_01,V$TBX21_02,V$TEAD4TBX21_01	0.6734006734006734	0.5194805194805194	2.3144794546165333	0.8023888888888888	0.04395094322642337
ENSG00000088881	early B-cell factor 4	EBF4	V$EBF4_02	0.23030303030303031	0.0795978215333054	2.8933333333333335	0.6798	0.001114001175485458
ENSG00000089116	LIM homeobox 5	LHX5	V$LHX5_01	5.345454545454546	3.556765814830331	1.5028975265017668	0.7454	7.422474733182059E-12
ENSG00000089225	T-box 5	TBX5	V$TBX5CSX_Q5,V$TBX5_Q2	0.08484848484848484	0.027230833682446585	3.455925925925926	0.9168000000000001	0.03460639018067924
ENSG00000091010	POU class 4 homeobox 3	POU4F3	V$BRN3C_01,V$POU4F3_02	2.272727272727273	1.3887725178047758	1.6793653846153846	0.7972	1.4014179459561997E-7
ENSG00000091831	estrogen receptor 1	ESR1	V$ESR1_03,V$ESR1_06	0.28484848484848485	0.09426057813154588	5.201111111111111	0.84485	7.262535953741987E-4
ENSG00000100146	SRY (sex determining region Y)-box 10	SOX10	V$SOX10_07,V$SOX10_08,V$SOX10_Q6_01	0.5494949494949495	0.39379974863845835	1.5367427241663723	0.9748666666666667	0.043730774382488846
ENSG00000100987	visual system homeobox 1	VSX1	V$VSX1_01,V$VSX1_03,V$VSX1_04	4.585858585858586	3.893310990085183	1.7231688172826907	0.8597000000000001	0.0056778007074268335
ENSG00000101076	hepatocyte nuclear factor 4, alpha	HNF4A	V$COUP_01,V$HNF4ALPHA_Q6,V$HNF4A_06,V$HNF4A_08,V$HNF4A_10	0.2496969696969697	0.15416841223292838	2.400273055905843	0.86446	0.04171638166094237
ENSG00000105136	zinc finger protein 419	ZNF419	V$ZNF419_01,V$ZNF419_02,V$ZNF419_04	1.7979797979797982	1.4746543778801842	1.6018306878306878	0.7351333333333333	0.018146455254044343
ENSG00000105672	ets variant 2	ETV2	V$ER71_02,V$ER71_03,V$ETSLIKE_Q4,V$ETV2BHLHA15_01,V$ETV2CEBPD_01,V$ETV2DLX2_01,V$ETV2DLX3_03,V$ETV2ETV7_01,V$ETV2FIGLA_01,V$ETV2FOXI1_03,V$ETV2GSC2_01,V$ETV2HES7_03,V$ETV2HOXA2_02,V$ETV2HOXB13_01,V$ETV2NHLH1_02,V$ETV2PITX1_01,V$ETV2RFX5_02,V$ETV2SPDEF_01,V$ETV2TCF3_01,V$ETV2TEF_01	5.196363636363636	4.554671135316297	1.8011019422225627	0.768545	0.022294926267296167
ENSG00000105880	distal-less homeobox 5	DLX5	V$DLX5_01,V$DLX5_03,V$DLX5_Q3	0.6747474747474748	0.3728529534981148	2.157330690779966	0.9791	0.013915519914923485
ENSG00000105991	homeobox A1	HOXA1	V$HOXA1_01,V$HOXA1_03,V$PBX4HOXA1_01	4.08080808080808	3.2565284178187404	1.5816787984045935	0.8369	0.007694341299715941
ENSG00000105996	homeobox A2	HOXA2	V$ETV2HOXA2_02,V$ETV5HOXA2_01,V$GCM1HOXA2_01,V$HOXA2_01,V$HOXA2_03	1.653333333333333	1.3607038123167157	3.4686231995410486	0.8729000000000001	0.01904236313315545
ENSG00000105997	homeobox A3	HOXA3	V$ERFHOXA3_01,V$HOXA3EOMES_01,V$HOXA3_02,V$HOXA3_08,V$HOXD12HOXA3_01	1.3503030303030303	0.9359028068705488	1.966163467878464	0.8459	0.013198888521068066
ENSG00000106031	homeobox A13	HOXA13	V$HOXA13_01,V$HOXA13_02,V$HOXA13_05,V$HOXA913_Q4,V$MEIS1HOXA13_01,V$MYBL1HOXA13_01,V$TEAD4HOXA13_01	1.8389610389610387	1.4836315757974745	1.5593822520590168	0.8765571428571429	0.02328879796068389
ENSG00000106331	paired box 4	PAX4	V$PAX4A_01,V$PAX4_03,V$PAX4_05,V$PAX4_07,V$PAX4_Q2	1.8666666666666665	1.5006284038542104	1.9376110012849417	0.8633799999999999	0.018926679781292716
ENSG00000106511	mesenchyme homeobox 2	MEOX2	V$MEOX2_01,V$MEOX2_02,V$MEOX2_03	1.81010101010101	1.2484289903644743	2.879412437553833	0.8352666666666666	0.003987818849759203
ENSG00000106536	POU class 6 homeobox 2	POU6F2	V$POU6F2_01,V$POU6F2_02,V$POU6F2_03	1.486868686868687	0.9453986873341712	1.6329057247158716	0.7984666666666667	3.8248967149585644E-4
ENSG00000106689	LIM homeobox 2	LHX2	V$LHX2_01,V$LHX2_02,V$LHX2_03,V$LHX2_04,V$LHX2_Q6	1.398787878787879	0.9669040636782572	1.8160053316601341	0.8512600000000001	0.005147200989487457
ENSG00000106852	LIM homeobox 6	LHX6	V$LHX61_01,V$LHX61_02,V$LHX6_05,V$LHX6_06,V$LHX6_08	1.6775757575757577	1.0791788856304987	1.6874731614400158	0.8332200000000001	8.718561044659179E-4
ENSG00000107187	LIM homeobox 3	LHX3	V$LHX3A_01,V$LHX3_01,V$LHX3b_01	3.498989898989899	2.238514173998045	1.564962343379008	0.8091666666666667	2.8755578888848616E-6
ENSG00000107485	GATA binding protein 3	GATA3	V$GATA3_07,V$TEAD4GATA3_01	0.12727272727272726	0.05446166736489317	2.5316666666666663	0.90525	0.040703548035916796
ENSG00000108511	homeobox B6	HOXB6	V$HOXB6_01	0.5575757575757576	0.21784666945957268	2.5594871794871796	0.864	4.695225351529183E-6
ENSG00000111424	vitamin D (1,25- dihydroxyvitamin D3) receptor	VDR	V$DR3_Q4,V$VDRRXRA_01,V$VDR_04,V$VDR_Q3	6.887878787878789	5.8734813573523255	3.040085028057264	0.795875	0.034156905209713644
ENSG00000113722	caudal type homeobox 1	CDX1	V$CDX1_01,V$CDX1_03,V$CDX1_Q4,V$CDX1_Q5,V$CDX_Q4,V$CDX_Q5	1.3171717171717172	0.9377181957827121	1.5375246766933708	0.93955	0.009722009105820925
