ID	Ensembl IDs	Names	Model	Score	Best module	Best score
ENSG00000115866	["ENSG00000115866"]	["DARS"]	DataElement[ENSG00000115866] class=class ru.biosoft.bsa.project.ProjectAsLists	3.6092175245285034	V$ZNF43_04, V$ZNF257_04	1.9407026767730713
ENSG00000119844	["ENSG00000119844"]	["AFTPH"]	DataElement[ENSG00000119844] class=class ru.biosoft.bsa.project.ProjectAsLists	3.3338546752929688	V$ZNF257_04, V$HOXA10_01	1.8467957973480225
ENSG00000120533	["ENSG00000120533"]	["ENY2"]	DataElement[ENSG00000120533] class=class ru.biosoft.bsa.project.ProjectAsLists	2.737192749977112	V$ZNF257_04, V$HOXA10_01	1.4327454566955566
ENSG00000111640	["ENSG00000111640"]	["GAPDH"]	DataElement[ENSG00000111640] class=class ru.biosoft.bsa.project.ProjectAsLists	2.728466749191284	V$ZNF43_04, V$ZNF257_04	1.7488627433776855
ENSG00000156875	["ENSG00000156875"]	["MFSD14A"]	DataElement[ENSG00000156875] class=class ru.biosoft.bsa.project.ProjectAsLists	2.711156964302063	V$SP1_14, V$ZNF501_01	0.9196079969406128
ENSG00000116120	["ENSG00000116120"]	["FARSB"]	DataElement[ENSG00000116120] class=class ru.biosoft.bsa.project.ProjectAsLists	2.6762922406196594	V$ZNF43_04, V$ZNF257_04	1.6912572383880615
ENSG00000196715	["ENSG00000196715"]	["VKORC1L1"]	DataElement[ENSG00000196715] class=class ru.biosoft.bsa.project.ProjectAsLists	2.4891510009765625	V$SP1_14, V$ZNF501_01	1.6199510097503662
ENSG00000110713	["ENSG00000110713"]	["NUP98"]	DataElement[ENSG00000110713] class=class ru.biosoft.bsa.project.ProjectAsLists	2.4535820484161377	V$ZNF43_04, V$ZNF257_04	2.4535820484161377
ENSG00000124380	["ENSG00000124380"]	["SNRNP27"]	DataElement[ENSG00000124380] class=class ru.biosoft.bsa.project.ProjectAsLists	2.243117332458496	V$ZNF257_04, V$HOXA10_01	1.250888466835022
ENSG00000135441	["ENSG00000135441"]	["BLOC1S1"]	DataElement[ENSG00000135441] class=class ru.biosoft.bsa.project.ProjectAsLists	2.21004319190979	V$ZNF43_04, V$ZNF257_04	2.21004319190979
ENSG00000136156	["ENSG00000136156"]	["ITM2B"]	DataElement[ENSG00000136156] class=class ru.biosoft.bsa.project.ProjectAsLists	2.1950182914733887	V$ZNF43_04, V$ZNF257_04	1.1950182914733887
ENSG00000188690	["ENSG00000188690"]	["UROS"]	DataElement[ENSG00000188690] class=class ru.biosoft.bsa.project.ProjectAsLists	2.0717077255249023	V$ZNF43_04, V$ZNF257_04	2.0717077255249023
ENSG00000139613	["ENSG00000139613"]	["SMARCC2"]	DataElement[ENSG00000139613] class=class ru.biosoft.bsa.project.ProjectAsLists	2.06655353307724	V$ZNF43_04, V$ZNF257_04	1.1007945537567139
ENSG00000123240	["ENSG00000123240"]	["OPTN"]	DataElement[ENSG00000123240] class=class ru.biosoft.bsa.project.ProjectAsLists	1.9690148830413818	V$ZNF43_04, V$ZNF257_04	1.9690148830413818
ENSG00000130522	["ENSG00000130522"]	["JUND"]	DataElement[ENSG00000130522] class=class ru.biosoft.bsa.project.ProjectAsLists	1.8948071002960205	V$SP1_14, V$ZNF501_01	1.0
ENSG00000160072	["ENSG00000160072"]	["ATAD3B"]	DataElement[ENSG00000160072] class=class ru.biosoft.bsa.project.ProjectAsLists	1.8899040222167969	V$SP1_14, V$ZNF501_01	0.9545130133628845
ENSG00000034510	["ENSG00000034510"]	["TMSB10"]	DataElement[ENSG00000034510] class=class ru.biosoft.bsa.project.ProjectAsLists	1.8897828459739685	V$SP1_14, V$ZNF501_01	1.0245238542556763
ENSG00000013441	["ENSG00000013441"]	["CLK1"]	DataElement[ENSG00000013441] class=class ru.biosoft.bsa.project.ProjectAsLists	1.8846763968467712	V$SP1_14, V$ZNF501_01	1.0030732154846191
ENSG00000165527	["ENSG00000165527"]	["ARF6"]	DataElement[ENSG00000165527] class=class ru.biosoft.bsa.project.ProjectAsLists	1.8531079292297363	V$SP1_14, V$ZNF501_01	0.9474292397499084
ENSG00000116750	["ENSG00000116750"]	["UCHL5"]	DataElement[ENSG00000116750] class=class ru.biosoft.bsa.project.ProjectAsLists	1.7696818113327026	V$ZNF257_04, V$HOXA10_01	1.7696818113327026
ENSG00000124702	["ENSG00000124702"]	["KLHDC3"]	DataElement[ENSG00000124702] class=class ru.biosoft.bsa.project.ProjectAsLists	1.7671687602996826	V$ZNF43_04, V$ZNF257_04	1.7671687602996826
ENSG00000116489	["ENSG00000116489"]	["CAPZA1"]	DataElement[ENSG00000116489] class=class ru.biosoft.bsa.project.ProjectAsLists	1.7537835836410522	V$ZNF257_04, V$HOXA10_01	1.7537835836410522
ENSG00000152234	["ENSG00000152234"]	["ATP5A1"]	DataElement[ENSG00000152234] class=class ru.biosoft.bsa.project.ProjectAsLists	1.7401511669158936	V$SP1_14, V$ZNF501_01	1.7401511669158936
ENSG00000129103	["ENSG00000129103"]	["SUMF2"]	DataElement[ENSG00000129103] class=class ru.biosoft.bsa.project.ProjectAsLists	1.7318878173828125	V$ZNF257_04, V$HOXA10_01	1.7318878173828125
ENSG00000141002	["ENSG00000141002"]	["TCF25"]	DataElement[ENSG00000141002] class=class ru.biosoft.bsa.project.ProjectAsLists	1.6999132633209229	V$ZNF43_04, V$ZNF257_04	1.6999132633209229
ENSG00000177963	["ENSG00000177963"]	["RIC8A"]	DataElement[ENSG00000177963] class=class ru.biosoft.bsa.project.ProjectAsLists	1.6779561042785645	V$ZNF43_04, V$ZNF257_04	1.6779561042785645
ENSG00000067829	["ENSG00000067829"]	["IDH3G"]	DataElement[ENSG00000067829] class=class ru.biosoft.bsa.project.ProjectAsLists	1.673645257949829	V$ZNF43_04, V$ZNF257_04	1.673645257949829
ENSG00000108349	["ENSG00000108349"]	["CASC3"]	DataElement[ENSG00000108349] class=class ru.biosoft.bsa.project.ProjectAsLists	1.6549794673919678	V$ZNF43_04, V$ZNF257_04	1.6549794673919678
ENSG00000153187	["ENSG00000153187"]	["HNRNPU"]	DataElement[ENSG00000153187] class=class ru.biosoft.bsa.project.ProjectAsLists	1.6325491666793823	V$ZNF43_04, V$ZNF257_04	1.6325491666793823
ENSG00000105185	["ENSG00000105185"]	["PDCD5"]	DataElement[ENSG00000105185] class=class ru.biosoft.bsa.project.ProjectAsLists	1.6292121410369873	V$ZNF43_04, V$ZNF257_04	1.6292121410369873
ENSG00000197622	["ENSG00000197622"]	["CDC42SE1"]	DataElement[ENSG00000197622] class=class ru.biosoft.bsa.project.ProjectAsLists	1.5960428714752197	V$ZNF43_04, V$ZNF257_04	1.5960428714752197
ENSG00000110721	["ENSG00000110721"]	["CHKA"]	DataElement[ENSG00000110721] class=class ru.biosoft.bsa.project.ProjectAsLists	1.575544834136963	V$ZNF43_04, V$ZNF257_04	1.575544834136963
ENSG00000067225	["ENSG00000067225"]	["PKM"]	DataElement[ENSG00000067225] class=class ru.biosoft.bsa.project.ProjectAsLists	1.564113974571228	V$ZNF43_04, V$ZNF257_04	1.564113974571228
ENSG00000178188	["ENSG00000178188"]	["SH2B1"]	DataElement[ENSG00000178188] class=class ru.biosoft.bsa.project.ProjectAsLists	1.510500431060791	V$ZNF43_04, V$ZNF257_04	1.510500431060791
ENSG00000160613	["ENSG00000160613"]	["PCSK7"]	DataElement[ENSG00000160613] class=class ru.biosoft.bsa.project.ProjectAsLists	1.4984976053237915	V$ZNF43_04, V$ZNF257_04	1.4984976053237915
ENSG00000143256	["ENSG00000143256"]	["PFDN2"]	DataElement[ENSG00000143256] class=class ru.biosoft.bsa.project.ProjectAsLists	1.3542083501815796	V$ZNF257_04, V$HOXA10_01	1.3542083501815796
ENSG00000143420	["ENSG00000143420"]	["ENSA"]	DataElement[ENSG00000143420] class=class ru.biosoft.bsa.project.ProjectAsLists	1.3029017448425293	V$ZNF43_04, V$ZNF257_04	1.3029017448425293
ENSG00000066044	["ENSG00000066044"]	["ELAVL1"]	DataElement[ENSG00000066044] class=class ru.biosoft.bsa.project.ProjectAsLists	1.2945891618728638	V$ZNF43_04, V$ZNF257_04	1.2945891618728638
ENSG00000185721	["ENSG00000185721"]	["DRG1"]	DataElement[ENSG00000185721] class=class ru.biosoft.bsa.project.ProjectAsLists	1.2318012714385986	V$ZNF257_04, V$HOXA10_01	1.2318012714385986
ENSG00000120690	["ENSG00000120690"]	["ELF1"]	DataElement[ENSG00000120690] class=class ru.biosoft.bsa.project.ProjectAsLists	1.2088994979858398	V$ZNF43_04, V$ZNF257_04	1.2088994979858398
ENSG00000078668	["ENSG00000078668"]	["VDAC3"]	DataElement[ENSG00000078668] class=class ru.biosoft.bsa.project.ProjectAsLists	1.0751442909240723	V$ZNF43_04, V$ZNF257_04	1.0751442909240723
ENSG00000125952	["ENSG00000125952"]	["MAX"]	DataElement[ENSG00000125952] class=class ru.biosoft.bsa.project.ProjectAsLists	1.024644374847412	V$ZNF43_04, V$ZNF257_04	1.024644374847412
ENSG00000189403	["ENSG00000189403"]	["HMGB1"]	DataElement[ENSG00000189403] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9926173686981201	V$ZNF43_04, V$ZNF257_04	0.9926173686981201
ENSG00000101367	["ENSG00000101367"]	["MAPRE1"]	DataElement[ENSG00000101367] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9874234795570374	V$SP1_14, V$ZNF501_01	0.9874234795570374
ENSG00000140319	["ENSG00000140319"]	["SRP14"]	DataElement[ENSG00000140319] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9835349917411804	V$SP1_14, V$ZNF501_01	0.9835349917411804
ENSG00000113269	["ENSG00000113269"]	["RNF130"]	DataElement[ENSG00000113269] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9810550212860107	V$SP1_14, V$ZNF501_01	0.9810550212860107
ENSG00000147533	["ENSG00000147533"]	["GOLGA7"]	DataElement[ENSG00000147533] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9805790185928345	V$SP1_14, V$ZNF501_01	0.9805790185928345
ENSG00000136003	["ENSG00000136003"]	["ISCU"]	DataElement[ENSG00000136003] class=class ru.biosoft.bsa.project.ProjectAsLists	0.975311815738678	V$ZNF43_04, V$ZNF257_04	0.975311815738678
ENSG00000220205	["ENSG00000220205"]	["VAMP2"]	DataElement[ENSG00000220205] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9734039902687073	V$SP1_14, V$ZNF501_01	0.9734039902687073
ENSG00000026025	["ENSG00000026025"]	["VIM"]	DataElement[ENSG00000026025] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9495702385902405	V$SP1_14, V$ZNF501_01	0.9495702385902405
ENSG00000150459	["ENSG00000150459"]	["SAP18"]	DataElement[ENSG00000150459] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9456089735031128	V$ZNF257_04, V$HOXA10_01	0.9456089735031128
ENSG00000137210	["ENSG00000137210"]	["TMEM14B"]	DataElement[ENSG00000137210] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9420906901359558	V$SP1_14, V$ZNF501_01	0.9420906901359558
ENSG00000105618	["ENSG00000105618"]	["PRPF31"]	DataElement[ENSG00000105618] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9413959980010986	V$SP1_14, V$ZNF501_01	0.9413959980010986
ENSG00000164961	["ENSG00000164961"]	["WASHC5"]	DataElement[ENSG00000164961] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9403730034828186	V$SP1_14, V$ZNF501_01	0.9403730034828186
ENSG00000182117	["ENSG00000182117"]	["NOP10"]	DataElement[ENSG00000182117] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9384703040122986	V$ZNF257_04, V$HOXA10_01	0.9384703040122986
ENSG00000116350	["ENSG00000116350"]	["SRSF4"]	DataElement[ENSG00000116350] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9368534088134766	V$SP1_14, V$ZNF501_01	0.9368534088134766
ENSG00000163527	["ENSG00000163527"]	["STT3B"]	DataElement[ENSG00000163527] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9326774477958679	V$SP1_14, V$ZNF501_01	0.9326774477958679
ENSG00000182944	["ENSG00000182944"]	["EWSR1"]	DataElement[ENSG00000182944] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9292799830436707	V$SP1_14, V$ZNF501_01	0.9292799830436707
ENSG00000143614	["ENSG00000143614"]	["GATAD2B"]	DataElement[ENSG00000143614] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9286400079727173	V$SP1_14, V$ZNF501_01	0.9286400079727173
ENSG00000204842	["ENSG00000204842"]	["ATXN2"]	DataElement[ENSG00000204842] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9251543283462524	V$SP1_14, V$ZNF501_01	0.9251543283462524
ENSG00000055130	["ENSG00000055130"]	["CUL1"]	DataElement[ENSG00000055130] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9237769842147827	V$SP1_14, V$ZNF501_01	0.9237769842147827
ENSG00000146701	["ENSG00000146701"]	["MDH2"]	DataElement[ENSG00000146701] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9230459928512573	V$ZNF257_04, V$HOXA10_01	0.9230459928512573
ENSG00000174231	["ENSG00000174231"]	["PRPF8"]	DataElement[ENSG00000174231] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9200980067253113	V$ZNF43_04, V$ZNF257_04	0.9200980067253113
ENSG00000164924	["ENSG00000164924"]	["YWHAZ"]	DataElement[ENSG00000164924] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9166629910469055	V$ZNF257_04, V$HOXA10_01	0.9166629910469055
ENSG00000119801	["ENSG00000119801"]	["YPEL5"]	DataElement[ENSG00000119801] class=class ru.biosoft.bsa.project.ProjectAsLists	0.9161040186882019	V$SP1_14, V$ZNF501_01	0.9161040186882019
