ID	Ensembl ID_1	Gene description	Gene symbol	Ensembl ID	Gene symbol ID
10006	ENSG00000136754	abl interactor 1	ABI1	ENSG00000136754	ABI1
10114	ENSG00000110422	homeodomain interacting protein kinase 3	HIPK3	ENSG00000110422	HIPK3
10163	ENSG00000158195	WAS protein family member 2	WASF2	ENSG00000158195	WASF2
10273	ENSG00000103266	E3 ubiquitin protein ligase,STIP1 homology and U-box containing protein 1	STUB1	ENSG00000103266	STUB1
10333	ENSG00000174130	toll-like receptor 6	TLR6	ENSG00000174130	TLR6
10362	ENSG00000064961	high mobility group 20B	HMG20B	ENSG00000064961	HMG20B
10401	ENSG00000131788	protein inhibitor of activated STAT 3	PIAS3	ENSG00000131788	PIAS3
10458	ENSG00000175866	BAI1-associated protein 2	BAIAP2	ENSG00000175866	BAIAP2
105369247	ENSG00000197471	sialophorin	SPN	ENSG00000197471	SPN
10625	ENSG00000116679	influenza virus NS1A binding protein	IVNS1ABP	ENSG00000116679	IVNS1ABP
10787	ENSG00000061676	NCK-associated protein 1	NCKAP1	ENSG00000061676	NCKAP1
11078	ENSG00000100106	TRIO and F-actin binding protein	TRIOBP	ENSG00000100106	TRIOBP
11124	ENSG00000185104	Fas (TNFRSF6) associated factor 1	FAF1	ENSG00000185104	FAF1
1277	ENSG00000108821	alpha 1,collagen,type I	COL1A1	ENSG00000108821	COL1A1
1278	ENSG00000164692	alpha 2,collagen,type I	COL1A2	ENSG00000164692	COL1A2
1280	ENSG00000139219	alpha 1,collagen,type II	COL2A1	ENSG00000139219	COL2A1
1281	ENSG00000168542	alpha 1,collagen,type III	COL3A1	ENSG00000168542	COL3A1
1282	ENSG00000187498	alpha 1,collagen,type IV	COL4A1	ENSG00000187498	COL4A1
1284	ENSG00000134871	alpha 2,collagen,type IV	COL4A2	ENSG00000134871	COL4A2
1285	ENSG00000169031	alpha 3 (Goodpasture antigen),collagen,type IV	COL4A3	ENSG00000169031	COL4A3
1286	ENSG00000081052	alpha 4,collagen,type IV	COL4A4	ENSG00000081052	COL4A4
1287	ENSG00000188153	alpha 5,collagen,type IV	COL4A5	ENSG00000188153	COL4A5
1288	ENSG00000197565	alpha 6,collagen,type IV	COL4A6	ENSG00000197565	COL4A6
1294	ENSG00000114270	alpha 1,collagen,type VII	COL7A1	ENSG00000114270	COL7A1
1305	ENSG00000197467	alpha 1,collagen,type XIII	COL13A1	ENSG00000197467	COL13A1
1364	ENSG00000189143	claudin 4	CLDN4	ENSG00000189143	CLDN4
1387	ENSG00000005339	CREB binding protein	CREBBP	ENSG00000005339	CREBBP
1398	ENSG00000167193	v-crk avian sarcoma virus CT10 oncogene homolog	CRK	ENSG00000167193	CRK
1399	ENSG00000099942	v-crk avian sarcoma virus CT10 oncogene homolog-like	CRKL	ENSG00000099942	CRKL
1400	ENSG00000072832	collapsin response mediator protein 1	CRMP1	ENSG00000072832	CRMP1
1445	ENSG00000103653	c-src tyrosine kinase	CSK	ENSG00000103653	CSK
1457	ENSG00000101266	alpha 1 polypeptide,casein kinase 2	CSNK2A1	ENSG00000101266	CSNK2A1
1462	ENSG00000038427	versican	VCAN	ENSG00000038427	VCAN
1499	ENSG00000168036	catenin beta 1	CTNNB1	ENSG00000168036	CTNNB1
1509	ENSG00000117984	cathepsin D	CTSD	ENSG00000117984	CTSD
1604	ENSG00000196352	CD55 molecule,decay accelerating factor for complement (Cromer blood group)	CD55	ENSG00000196352	CD55
1634	ENSG00000011465	decorin	DCN	ENSG00000011465	DCN
1742	ENSG00000132535	discs,large homolog 4 (Drosophila)	DLG4	ENSG00000132535	DLG4
1759	ENSG00000106976	dynamin 1	DNM1	ENSG00000106976	DNM1
1793	ENSG00000150760	dedicator of cytokinesis 1	DOCK1	ENSG00000150760	DOCK1
1796	ENSG00000115325	docking protein 1	DOK1	ENSG00000115325	DOK1
1822	ENSG00000111676	atrophin 1	ATN1	ENSG00000111676	ATN1
1839	ENSG00000113070	heparin-binding EGF-like growth factor	HBEGF	ENSG00000113070	HBEGF
1915	ENSG00000156508	eukaryotic translation elongation factor 1 alpha 1	EEF1A1	ENSG00000156508	EEF1A1
1956	ENSG00000146648	epidermal growth factor receptor	EGFR	ENSG00000146648	EGFR
1958	ENSG00000120738	early growth response 1	EGR1	ENSG00000120738	EGR1
2	ENSG00000175899	alpha-2-macroglobulin	A2M	ENSG00000175899	A2M
2006	ENSG00000049540	elastin	ELN	ENSG00000049540	ELN
203068	ENSG00000196230	tubulin beta class I	TUBB	ENSG00000196230	TUBB
2033	ENSG00000100393	E1A binding protein p300	EP300	ENSG00000100393	EP300
2043	ENSG00000116106	EPH receptor A4	EPHA4	ENSG00000116106	EPHA4
2059	ENSG00000151491	epidermal growth factor receptor pathway substrate 8	EPS8	ENSG00000151491	EPS8
2064	ENSG00000141736	erb-b2 receptor tyrosine kinase 2	ERBB2	ENSG00000141736	ERBB2
207	ENSG00000142208	v-akt murine thymoma viral oncogene homolog 1	AKT1	ENSG00000142208	AKT1
2099	ENSG00000091831	estrogen receptor 1	ESR1	ENSG00000091831	ESR1
2147	ENSG00000180210	coagulation factor II (thrombin)	F2	ENSG00000180210	F2
2185	ENSG00000120899	protein tyrosine kinase 2 beta	PTK2B	ENSG00000120899	PTK2B
2192	ENSG00000077942	fibulin 1	FBLN1	ENSG00000077942	FBLN1
2199	ENSG00000163520	fibulin 2	FBLN2	ENSG00000163520	FBLN2
2200	ENSG00000166147	fibrillin 1	FBN1	ENSG00000166147	FBN1
2247	ENSG00000138685	fibroblast growth factor 2 (basic)	FGF2	ENSG00000138685	FGF2
2252	ENSG00000140285	fibroblast growth factor 7	FGF7	ENSG00000140285	FGF7
2260	ENSG00000077782	fibroblast growth factor receptor 1	FGFR1	ENSG00000077782	FGFR1
22795	ENSG00000087303	nidogen 2	NID2	ENSG00000087303	NID2
22918	ENSG00000125810	CD93 molecule	CD93	ENSG00000125810	CD93
22927	ENSG00000130956	hyaluronan binding protein 4	HABP4	ENSG00000130956	HABP4
2316	ENSG00000196924	filamin A	FLNA	ENSG00000196924	FLNA
23225	ENSG00000132182	nucleoporin 210kDa	NUP210	ENSG00000132182	NUP210
2335	ENSG00000115414	fibronectin 1	FN1	ENSG00000115414	FN1
25	ENSG00000097007	ABL proto-oncogene 1,non-receptor tyrosine kinase	ABL1	ENSG00000097007	ABL1
2534	ENSG00000010810	FYN proto-oncogene,Src family tyrosine kinase	FYN	ENSG00000010810	FYN
