ID	Title	Number of hits	Group size	Expected hits	P-value	Adjusted P-value	Hits	Hit names
CH000000722	EGF pathway	35	134	8.509786863853849	2.8611569213424796E-14	1.3476049099523079E-11	["ENSG00000075624","ENSG00000100393","ENSG00000101266","ENSG00000105647","ENSG00000106299","ENSG00000106976","ENSG00000111679","ENSG00000113070","ENSG00000115325","ENSG00000115904","ENSG00000120899","ENSG00000124181","ENSG00000129219","ENSG00000136238","ENSG00000136754","ENSG00000136854","ENSG00000141736","ENSG00000143632","ENSG00000145675","ENSG00000146648","ENSG00000149269","ENSG00000149968","ENSG00000150995","ENSG00000151491","ENSG00000160691","ENSG00000164924","ENSG00000166949","ENSG00000168610","ENSG00000170315","ENSG00000174775","ENSG00000175387","ENSG00000177885","ENSG00000186868","ENSG00000196924","ENSG00000197122"]	["ABI1","ACTA1","ACTB","CSNK2A1","DNM1","DOK1","EGFR","EP300","EPS8","ERBB2","FLNA","GRB2","HBEGF","HRAS (ENSG00000174775)","ITPR1","MAPT","MMP3","PAK1","PIK3R1","PIK3R2","PLCG1","PLD2","PTK2B","PTPN6","RAC1","SHC1","SMAD2","SMAD3","SOS1","SRC","STAT3","STXBP1","UBB","WASL","YWHAZ"]
CH000000736	PDGF pathway	22	66	4.1913875598086126	1.634337296375853E-11	3.8488643329651335E-9	["ENSG00000050820","ENSG00000067606","ENSG00000099942","ENSG00000105647","ENSG00000115904","ENSG00000124181","ENSG00000136238","ENSG00000142208","ENSG00000145675","ENSG00000145715","ENSG00000149269","ENSG00000150995","ENSG00000154229","ENSG00000160691","ENSG00000163932","ENSG00000167193","ENSG00000168610","ENSG00000171132","ENSG00000174775","ENSG00000177885","ENSG00000179295","ENSG00000197122"]	["AKT1","BCAR1","CRK","CRKL","GRB2","HRAS (ENSG00000174775)","ITPR1","PAK1","PIK3R1","PIK3R2","PLCG1","PRKCA","PRKCD","PRKCE","PRKCZ","PTPN11","RAC1","RASA1","SHC1","SOS1","SRC","STAT3"]
CH000000770	beta-catenin network	25	99	6.287081339712919	5.380611290806244E-10	8.447559726565804E-8	["ENSG00000010671","ENSG00000010810","ENSG00000077782","ENSG00000096968","ENSG00000097007","ENSG00000101266","ENSG00000101336","ENSG00000103653","ENSG00000105397","ENSG00000105976","ENSG00000116106","ENSG00000120738","ENSG00000120899","ENSG00000140443","ENSG00000141736","ENSG00000142949","ENSG00000146648","ENSG00000162434","ENSG00000165025","ENSG00000168036","ENSG00000169398","ENSG00000171105","ENSG00000182866","ENSG00000197122","ENSG00000254087"]	["ABL1","BTK","CSK","CSNK2A1","CTNNB1","EGFR","EGR1","EPHA4","ERBB2","FGFR1","FYN","HCK","IGF1R","INSR","JAK1","JAK2","LCK","LYN","MET","PTK2","PTK2B","PTPRF","SRC","SYK","TYK2"]
CH000000600	beta-catenin:E-cadherin complex phosphorylation and dephosphorylation	23	87	5.525010874293171	1.078129155193509E-9	1.2694970802403568E-7	["ENSG00000010671","ENSG00000010810","ENSG00000077782","ENSG00000096968","ENSG00000097007","ENSG00000101336","ENSG00000103653","ENSG00000105397","ENSG00000105976","ENSG00000116106","ENSG00000120899","ENSG00000140443","ENSG00000141736","ENSG00000142949","ENSG00000146648","ENSG00000162434","ENSG00000165025","ENSG00000168036","ENSG00000169398","ENSG00000171105","ENSG00000182866","ENSG00000197122","ENSG00000254087"]	["ABL1","BTK","CSK","CTNNB1","EGFR","EPHA4","ERBB2","FGFR1","FYN","HCK","IGF1R","INSR","JAK1","JAK2","LCK","LYN","MET","PTK2","PTK2B","PTPRF","SRC","SYK","TYK2"]
CH000004584	tyrosine dephosphorylation of plakoglobin	23	88	5.588516746411483	1.3825050192284656E-9	1.3023197281132146E-7	["ENSG00000010671","ENSG00000010810","ENSG00000077782","ENSG00000096968","ENSG00000097007","ENSG00000101336","ENSG00000103653","ENSG00000105397","ENSG00000105976","ENSG00000116106","ENSG00000120899","ENSG00000140443","ENSG00000141736","ENSG00000142949","ENSG00000146648","ENSG00000162434","ENSG00000165025","ENSG00000169398","ENSG00000171105","ENSG00000173801","ENSG00000182866","ENSG00000197122","ENSG00000254087"]	["ABL1","BTK","CSK","EGFR","EPHA4","ERBB2","FGFR1","FYN","HCK","IGF1R","INSR","JAK1","JAK2","JUP","LCK","LYN","MET","PTK2","PTK2B","PTPRF","SRC","SYK","TYK2"]
CH000000599	beta-catenin:E-cadherin complex phosphorylation and dissociation	22	87	5.525010874293171	6.507801826431295E-9	5.108624433748566E-7	["ENSG00000010671","ENSG00000010810","ENSG00000077782","ENSG00000096968","ENSG00000097007","ENSG00000101336","ENSG00000103653","ENSG00000105397","ENSG00000105976","ENSG00000116106","ENSG00000120899","ENSG00000140443","ENSG00000141736","ENSG00000146648","ENSG00000162434","ENSG00000165025","ENSG00000168036","ENSG00000169398","ENSG00000171105","ENSG00000182866","ENSG00000197122","ENSG00000254087"]	["ABL1","BTK","CSK","CTNNB1","EGFR","EPHA4","ERBB2","FGFR1","FYN","HCK","IGF1R","INSR","JAK1","JAK2","LCK","LYN","MET","PTK2","PTK2B","SRC","SYK","TYK2"]
CH000000926	PRL pathway	17	56	3.556328838625489	2.044992192306317E-8	1.3759876036803933E-6	["ENSG00000010810","ENSG00000096968","ENSG00000105647","ENSG00000115904","ENSG00000131788","ENSG00000136238","ENSG00000141968","ENSG00000142208","ENSG00000145675","ENSG00000149269","ENSG00000160691","ENSG00000169047","ENSG00000169398","ENSG00000174775","ENSG00000177885","ENSG00000179295","ENSG00000197122"]	["AKT1","FYN","GRB2","HRAS (ENSG00000174775)","IRS1","JAK2","PAK1","PIAS3","PIK3R1","PIK3R2","PTK2","PTPN11","RAC1","SHC1","SOS1","SRC","VAV1"]
CH000000711	TGFbeta pathway	28	153	9.716398434101784	1.0801262410815642E-7	6.3592432443677095E-6	["ENSG00000049323","ENSG00000100393","ENSG00000105329","ENSG00000105647","ENSG00000108424","ENSG00000115414","ENSG00000115904","ENSG00000116478","ENSG00000122194","ENSG00000125378","ENSG00000136238","ENSG00000136603","ENSG00000137801","ENSG00000141646","ENSG00000145675","ENSG00000160691","ENSG00000166147","ENSG00000166949","ENSG00000168056","ENSG00000170315","ENSG00000170365","ENSG00000174775","ENSG00000175387","ENSG00000177885","ENSG00000180370","ENSG00000185359","ENSG00000185591","ENSG00000197122"]	["BMP4","EP300","FBN1","FN1","GRB2","HDAC1","HGS","HRAS (ENSG00000174775)","KPNB1","LTBP1","LTBP3","PAK2","PIK3R1","PIK3R2","PLG","RAC1","SHC1","SKIL","SMAD1","SMAD2","SMAD3","SMAD4","SOS1","SP1","SRC","TGFB1","THBS1","UBB"]
CH000000741	Epo pathway	11	32	2.032187907785994	1.893878432672442E-6	9.91129713098578E-5	["ENSG00000096968","ENSG00000099942","ENSG00000105647","ENSG00000111679","ENSG00000136238","ENSG00000141968","ENSG00000145675","ENSG00000160691","ENSG00000174775","ENSG00000177885","ENSG00000254087"]	["CRKL","GRB2","HRAS (ENSG00000174775)","JAK2","LYN","PIK3R1","PIK3R2","PTPN6","RAC1","SHC1","VAV1"]
CH000003940	NMDA receptor signaling	11	35	2.222705524140931	5.184048695981422E-6	2.163014032580668E-4	["ENSG00000008056","ENSG00000010810","ENSG00000115904","ENSG00000120899","ENSG00000132535","ENSG00000160691","ENSG00000174775","ENSG00000176884","ENSG00000177885","ENSG00000197122","ENSG00000198668"]	["CALM1","DLG4","FYN","GRB2","GRIN1","HRAS (ENSG00000174775)","PTK2B","SHC1","SOS1","SRC","SYN1"]
CH000000668	FasL ---> Caspase-3	5	6	0.3810352327098739	5.510863777275587E-6	2.163014032580668E-4	["ENSG00000026103","ENSG00000064012","ENSG00000117560","ENSG00000164305","ENSG00000185104"]	["CASP3","CASP8","FAF1","FAS","FASLG"]
