ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Gene symbol ID	Gene symbol ID_1	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.stat	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.bh.pval
ENSG00000006704	GTF2I repeat domain containing 1	GTF2IRD1	V$BEN_01,V$BEN_02	3.952503390831856	3.3849129593810443	1.7651709669021385	0.9266	0.03331636653583761	GTF2IRD1	GTF2IRD1	-1.22634689308245	560.199069365147	0.263462828271864	-1.11730041586861	0.263865897745244	0.349192712793754
ENSG00000025156	heat shock transcription factor 2	HSF2	V$HSF2_Q6	0.11649483678241261	0.06447453255963895	1.8068349184952195	0.8848	0.028895704209026724	HSF2	HSF2	1.59770788397081	256.723512002774	0.185666820139065	3.64095026525254	2.71633610434457E-4	8.21751532056247E-4
ENSG00000029153	aryl hydrocarbon receptor nuclear translocator-like 2	ARNTL2	V$ARNTLIKE_Q6	0.029123709195603153	0.003223726627981947	9.034174592476099	0.9987	0.01494310938596633	ARNTL2	ARNTL2	2.7127621177372	523.612047674596	0.326252178462742	4.41303579930384	1.01931133625869E-5	4.09680922559406E-5
ENSG00000070476	ZXD family zinc finger C	ZXDC	V$ZXDL_01,V$ZXDL_02	2.5358429649600174	1.8923275306254028	4.539092349441011	0.8797999999999999	0.015163929606861502	ZXDC	ZXDC	-1.5876315185049	266.889956927478	0.258234459887401	-2.58244429954999	0.00981031968475576	0.0204085704167633
ENSG00000072310	sterol regulatory element binding transcription factor 1	SREBF1	V$SREBF1_02,V$SREBP1_02,V$SREBP1_Q5,V$SREBP1_Q6,V$SREBP_Q6	14.571839869525784	14.074145712443585	1.6237993812296743	0.86676	0.0185174146899459	SREBF1	SREBF1	1.80907518291164	1713.34512980118	0.360840251050963	2.37016896901968	0.0177799575946239	0.0343517551662732
ENSG00000075407	zinc finger protein 37A	ZNF37A	V$ZNF37A_02,V$ZNF37A_03	2.762591843697213	2.126047711154094	5.163854293672523	0.92025	0.007471554704489179	ZNF37A	ZNF37A	-1.02940191240966	661.948640111538	0.113482836108298	-0.368393752866834	0.712579654933084	0.782416098388928
ENSG00000075426	FOS-like antigen 2	FOSL2	V$FOSL2_02,V$FRA2_01,V$FRA2_03,V$FRA2_04,V$FRA2_Q4_01,V$JUNBFRA2_01,V$JUNDFRA2_01,V$JUNFRA2_01	0.8248250497183321	0.633059316569955	1.5012048686668167	0.8943375	0.009774272424285614	FOSL2	FOSL2	1.37278381500825	972.974072689895	0.251753172947606	1.81568495626063	0.0694187130400742	0.112702785756914
ENSG00000080298	regulatory factor X, 3 (influences HLA class II expression)	RFX3	V$RFX1_Q6,V$RFX3ETV7_01,V$RFX3SRF_01,V$RFX3_06,V$RFX3_09,V$RFX_Q6_01	2.5663535174506493	2.094347732645605	1.5704856362477189	0.8235333333333333	0.02377815222700498	RFX3	RFX3	-1.73621014604419	74.2900032990192	0.457588187154127	-1.73942772232364	0.0819595554621583	0.130155566546911
ENSG00000082641	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	V$MAF_Q4,V$MAF_Q6_01	6.636045166712432	6.126692456479691	1.8307827267379455	0.87005	0.014660671685321511	NFE2L1	NFE2L1	1.0440107182119	4608.10548138478	0.301763356590859	0.205911426565858	0.836860099603015	0.883299040201436
ENSG00000112658	serum response factor (c-fos serum response element-binding transcription factor)	SRF	V$RFX3SRF_01,V$SRF_01,V$SRF_02,V$SRF_07,V$SRF_09,V$SRF_11,V$SRF_12,V$SRF_13,V$SRF_C,V$SRF_Q3,V$SRF_Q4,V$SRF_Q5_01,V$SRF_Q5_02,V$SRF_Q6	0.512042356571676	0.4110251450676983	3.6722690942719813	0.8672285714285716	0.01683150121496407	SRF	SRF	1.10963669372815	1267.92644890447	0.399524856218852	0.375664739269576	0.707166154936871	0.777593257764778
