ID	Gene symbol ID	UniProt ID	Average Intensity
ENSG00000005022	SLC25A5	P05141	9292.03618789071
ENSG00000010810	FYN	P06241	9.407487644225931
ENSG00000035403	VCL	P18206-2	1989.8838738190348
ENSG00000044115	CTNNA1	P35221	251.44904694218832
ENSG00000044574	HSPA5	P11021	14995.658327726145
ENSG00000070756	PABPC1	P11940	3275.23632154271
ENSG00000070770	CSNK2A2	P19784	119.2247462523495
ENSG00000072110	ACTN1	P12814,P12814-2	10432.633760940735
ENSG00000074800	ENO1	P06733	126320.80797964419
ENSG00000079785	DDX1	Q92499	477.16371157409696
ENSG00000080824	HSP90AA1	P07900,P07900-2	22266.332198739416
ENSG00000084674	APOB	P04114	7.970534733229372
ENSG00000088986	DYNLL1	P63167	1824.636676175504
ENSG00000089009	RPL6	Q02878	3911.412768417018
ENSG00000089159	PXN	P49023-2	760.8995705839809
ENSG00000089737	DDX24	Q9GZR7	68.03947109175076
ENSG00000092199	HNRNPC	P07910,P07910-2	8443.05135287224
ENSG00000094631	HDAC6	Q9UBN7	39.67370191407169
ENSG00000096384	HSP90AB1	P08238	29724.922946792816
ENSG00000100462	PRMT5	O14744	363.7682855553583
ENSG00000102144	PGK1	P00558	30761.434983960018
ENSG00000102753	KPNA3	O00505	434.47147013844534
ENSG00000103275	UBE2I	P63279	1292.2845609219717
ENSG00000104419	NDRG1	Q92597	3043.6217531822845
ENSG00000105202	FBL	P22087	1172.375147768949
ENSG00000107438	PDLIM1	O00151	1478.2497344869048
ENSG00000108561	C1QBP	Q07021	2565.8625337464646
ENSG00000108654	DDX5	P17844	2282.287164037415
ENSG00000109971	HSPA8	P11142	29998.363617036994
ENSG00000111674	ENO2	P09104	12491.473638666503
ENSG00000113013	HSPA9	P38646	3837.3127346295505
ENSG00000113649	TCERG1	O14776-2	94.74885596820778
ENSG00000113712	CSNK1A1	P48729	82.1299140582809
ENSG00000114127	XRN1	Q8IZH2-2	0.5781626254585188
ENSG00000115053	NCL	P19338	3680.761038830081
ENSG00000115541	HSPE1	P61604	14881.991821663876
ENSG00000120438	TCP1	P17987	2893.954045514719
ENSG00000120694	HSPH1	Q92598,Q92598-2	1010.8807242211533
ENSG00000121058	COIL	P38432	4.729432050111305
ENSG00000122566	HNRNPA2B1	P22626	18403.606252399506
ENSG00000123349	PFDN5	Q99471	1426.569929502226
ENSG00000123416	TUBA1B	P68363	91334.55325300599
ENSG00000124214	STAU1	O95793-2,O95793-3	368.74235782693506
ENSG00000127824	TUBA4A	P68366	55157.48358874966
ENSG00000129691	ASH2L	Q9UBL3	14.002418172005664
ENSG00000130402	ACTN4	O43707	15847.171485994884
ENSG00000131462	TUBG1	P23258	348.2706300988875
ENSG00000131747	TOP2A	P11388	210.46694808627933
ENSG00000134308	YWHAQ	P27348	9207.799302881986
ENSG00000134333	LDHA	P00338	37212.34831671553
ENSG00000135486	HNRNPA1	P09651,P09651-2	21918.687264933516
ENSG00000136628	EPRS	P07814	705.3210099129451
ENSG00000138668	HNRNPD	Q14103-3,Q14103-4	4234.095123192608
ENSG00000139687	RB1	P06400	14.648864583670104
ENSG00000140992	PDPK1	O15530-3	3.7802543555671293
ENSG00000141503	MINK1	Q8N4C8	30.307741573018724
ENSG00000141510	TP53	P04637	204.22253568233248
ENSG00000143799	PARP1	P09874	431.77095907181086
ENSG00000144028	SNRNP200	O75643	213.9668925294547
ENSG00000146648	EGFR	P00533	258.9332697492885
ENSG00000147274	RBMX	P38159	1317.5199799036548
ENSG00000147604	RPL7	P18124	3228.968757807519
ENSG00000149273	RPS3	P23396	7656.912229962358
ENSG00000149925	ALDOA	P04075	41629.97081778537
ENSG00000150093	ITGB1	P05556	2402.156615157733
ENSG00000160789	LMNA	P02545,P02545-2,P02545-3	9367.947382468454
ENSG00000161800	RACGAP1	Q9H0H5	35.17364891056228
ENSG00000163932	PRKCD	Q05655	12.103211754174126
ENSG00000165119	HNRNPK	P61978,P61978-2,P61978-3	10232.055950613914
ENSG00000165140	FBP1	P09467	46.52902020430463
ENSG00000166598	HSP90B1	P14625	7737.205232452774
ENSG00000166913	YWHAB	P31946-2	11450.554072560783
ENSG00000167552	TUBA1A	Q71U36	84573.00397964398
ENSG00000167553	TUBA1C	Q9BQE3	82886.58010789024
ENSG00000167658	EEF2	P13639	10592.84214059783
ENSG00000167986	DDB1	Q16531	696.0924745439763
ENSG00000169564	PCBP1	Q15365	7750.478658067017
ENSG00000170027	YWHAG	P61981	6613.047792994925
ENSG00000170312	CDK1	P06493	1423.1717661354924
ENSG00000171314	PGAM1	P18669	15896.488116803634
