ID	Ensembl ID_1	Gene description	Gene symbol	Ensembl ID	Gene symbol ID
10333	ENSG00000174130	toll-like receptor 6	TLR6	ENSG00000174130	TLR6
10401	ENSG00000131788	protein inhibitor of activated STAT 3	PIAS3	ENSG00000131788	PIAS3
11078	ENSG00000100106	TRIO and F-actin binding protein	TRIOBP	ENSG00000100106	TRIOBP
1277	ENSG00000108821	alpha 1,collagen,type I	COL1A1	ENSG00000108821	COL1A1
1288	ENSG00000197565	alpha 6,collagen,type IV	COL4A6	ENSG00000197565	COL4A6
1294	ENSG00000114270	alpha 1,collagen,type VII	COL7A1	ENSG00000114270	COL7A1
1305	ENSG00000197467	alpha 1,collagen,type XIII	COL13A1	ENSG00000197467	COL13A1
1364	ENSG00000189143	claudin 4	CLDN4	ENSG00000189143	CLDN4
1604	ENSG00000196352	CD55 molecule,decay accelerating factor for complement (Cromer blood group)	CD55	ENSG00000196352	CD55
1634	ENSG00000011465	decorin	DCN	ENSG00000011465	DCN
1793	ENSG00000150760	dedicator of cytokinesis 1	DOCK1	ENSG00000150760	DOCK1
1958	ENSG00000120738	early growth response 1	EGR1	ENSG00000120738	EGR1
2059	ENSG00000151491	epidermal growth factor receptor pathway substrate 8	EPS8	ENSG00000151491	EPS8
2064	ENSG00000141736	erb-b2 receptor tyrosine kinase 2	ERBB2	ENSG00000141736	ERBB2
2192	ENSG00000077942	fibulin 1	FBLN1	ENSG00000077942	FBLN1
2200	ENSG00000166147	fibrillin 1	FBN1	ENSG00000166147	FBN1
2260	ENSG00000077782	fibroblast growth factor receptor 1	FGFR1	ENSG00000077782	FGFR1
23225	ENSG00000132182	nucleoporin 210kDa	NUP210	ENSG00000132182	NUP210
2335	ENSG00000115414	fibronectin 1	FN1	ENSG00000115414	FN1
2534	ENSG00000010810	FYN proto-oncogene,Src family tyrosine kinase	FYN	ENSG00000010810	FYN
26751	ENSG00000035115	SH3 and SYLF domain containing 1	SH3YL1	ENSG00000035115	SH3YL1
288	ENSG00000151150	ankyrin 3,node of Ranvier (ankyrin G)	ANK3	ENSG00000151150	ANK3
309	ENSG00000197043	annexin A6	ANXA6	ENSG00000197043	ANXA6
3481	ENSG00000167244	insulin like growth factor 2	IGF2	ENSG00000167244	IGF2
3486	ENSG00000146674	insulin like growth factor binding protein 3	IGFBP3	ENSG00000146674	IGFBP3
3487	ENSG00000141753	insulin like growth factor binding protein 4	IGFBP4	ENSG00000141753	IGFBP4
3490	ENSG00000163453	insulin like growth factor binding protein 7	IGFBP7	ENSG00000163453	IGFBP7
