ID	Transpath ID	FDR	Hit names	Hits	Master molecule name	Maximal radius	Ranks sum	Reachable total	Reached from set	Score	Z-Score	Average Intensity	Description	Ensembl ID	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	UniProt ID	abs_zscore	sd_mcf10a	zscore
ENSG00000004975	MO000042756	0.015	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	Dvl-2(h)	9.658057	189	60811	23	0.41638803	2.2449808	23.618222940792336	dishevelled segment polarity protein 2	ENSG00000004975	DVL2	1856	9.346141917	16.355783	550	13.088391	713	17.034824	740	13.498655	576	671.272249	0.424402534	1.063480415	0.09192176	0.33406027	0.965967847	9.434028205	18.222795	594	18.185194	558	19.347103	830	18.425659	913	9.38237398	9.31548106	9.41781499	9.33722771	9.41404689	9.38463088	9.46423581	9.39753701	NM_004422	O14641	1.917517489	0.04583337	1.917517489
ENSG00000011566	MO000041543	0.003	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000129437","MO000133252","MO000165730","MO000257758"]	GLK(h)	7.5977745	419	43001	22	0.36885402	1.6719917	514.216336083463	mitogen-activated protein kinase kinase kinase kinase 3	ENSG00000011566	MAP4K3	8491	9.150337357	10.310306	500	7.333679	578	10.713764	673	7.979349	493	586.5651148	0.526387731	1.066018655	0.118223046	0.43529773	0.780158257	9.240547606	10.789299	509	10.893105	483	11.467584	708	11.759387	844	9.22051602	9.05855923	9.25647733	9.12473192	9.20207153	9.18130852	9.24812903	9.25007102	NM_001270425,NM_003618	Q8IVH8-3	1.000254076	0.090187335	1.000254076
ENSG00000033800	MO000079236	0.03	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	PIAS1-isoform1(h)	7.984251	237	76817	25	0.47873315	1.8595467	2.469548292043112	protein inhibitor of activated STAT 1	ENSG00000033800	PIAS1	8554	10.14675394	15.052029	1063	10.578957	1209	15.643192	1427	8.876501	795	879.7488544	5.43E-6	-1.812271525	0.176253388	1.13E-6	-4.866851839	9.289678055	7.978193	546	8.677272	559	8.120329	732	7.18784	748	10.08320282	9.90076822	10.11744676	9.74628329	9.48901681	9.5292538	9.50232263	9.38705458	NM_001320687,NM_016166	O75925	4.972231261	0.17237249	-4.972231261
ENSG00000034152	MO000009403,MO000078695	0.019	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","Miz-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000027350","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	MKK3(h),MKK3-isoform1(h)	9.968128	207	86065	26	0.5272411	2.1235979	168.70007706867136	mitogen-activated protein kinase kinase 3	ENSG00000034152	MAP2K3	5606	7.756800165	7.791975	203	6.184956	258	7.246056	243	4.46164	155	519.3467542	3.93E-30	3.802121798	0.164404054	1.01E-31	11.71993452	9.683708655	25.049352	633	33.143173	782	25.642194	855	30.725236	1166	8.31260148	8.2379101	8.2560641	8.04907785	9.22949868	9.45160819	9.25256576	9.37941379	NM_001316332,NM_002756,NM_145109	P46734	16.84349011	0.114400785	16.84349011
ENSG00000050748	MO000030859,MO000031000,MO000082393,MO000256146	0.019	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	JNK2(h),JNK2-Alpha-1(h),JNK2alpha-1(h),JNK2alpha-2(h)	9.539122	175	80709	25	0.5702751	2.6148834	25.2930196772052	mitogen-activated protein kinase 9	ENSG00000050748	MAPK9	5601	10.14633045	18.295283	819	19.895377	1472	18.585369	1111	19.911538	1127	1023.105731	0.082086267	-1.241423929	0.157949384	0.048235233	-1.975290129	9.834310831	15.77759	694	20.654114	833	15.155543	909	21.104529	1412	9.96533176	10.17793985	10.00779312	10.15383302	9.7959196	9.9697139	9.79101229	10.01275665	NM_001135044,NM_001308244,NM_002752,NM_139068,NM_139069,NM_139070	P45984-2	2.959376056	0.105434258	-2.959376056
ENSG00000055208	MO000022126	0.028	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000129437","MO000133252","MO000165730","MO000257758"]	tab2(h)	9.407673	437	32390	22	0.29085615	1.7783169	NaN	TGF-beta activated kinase 1/MAP3K7 binding protein 2	ENSG00000055208	TAB2	23118	11.3931284	48.249125	2273	39.936813	3054	48.802475	2923	41.046871	2411	2625.92699	0.429944633	-1.049418775	0.072836235	0.339356252	-0.955437985	11.32324764	49.195366	2210	48.775062	2062	52.610902	3110	48.796168	3333	11.39751714	11.35980263	11.39454375	11.36235104	11.33945771	11.30423134	11.39586218	11.30679419	NM_001292034,NM_001292035,NM_015093,NR_125861		3.45197511	0.020243703	-3.45197511
ENSG00000055332	MO000008180,MO000094946	0.03	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	PKR(h),PKR-isoform1(h)	9.739958	200	73932	25	0.46547928	2.1645472	176.43568744078314	eukaryotic translation initiation factor 2 alpha kinase 2	ENSG00000055332	EIF2AK2	5610	9.636419086	14.560154	668	11.042216	866	13.895798	870	12.798125	744	907.9509168	6.35E-5	1.282965864	0.083420233	1.64E-5	4.309299679	9.994374975	20.656974	832	22.907373	874	21.383344	1143	21.149553	1429	9.72432209	9.65884866	9.73193408	9.73084206	9.87635387	9.94275975	9.91229722	9.95542313	NM_001135651,NM_001135652,NM_002759	P19525	10.15403025	0.035252592	10.15403025
ENSG00000056972	MO000120833	0.032	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000129437","MO000133252","MO000165730","MO000257758"]	CIKS-isoform1(h)	8.603727	461	50853	22	0.33252835	1.6395704	NaN	TRAF3 interacting protein 2	ENSG00000056972	TRAF3IP2	10758	8.771605317	5.957945	389	4.268762	420	6.636853	558	4.319508	359	351.8175618	0.002941708	-1.638577512	0.218653598	0.00112073	-3.258322417	8.05853314	4.06189	251	2.91932	179	4.345905	385	2.970687	298	8.68718065	8.46040537	8.78168842	8.53054517	8.28209392	8.03870491	8.40721074	8.06223007	NM_001164281,NM_001164283,NM_147200,NM_147686		4.881034903	0.146090366	-4.881034903
ENSG00000064393	MO000098995,MO000098997	0.043	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	hipk2-isoform1(h),hipk2-isoform3(h)	9.030083	363	74247	25	0.45229286	1.5735216	NaN	homeodomain interacting protein kinase 2	ENSG00000064393	HIPK2	28996	13.00517198	56.789848	9627	19.999164	5485	58.174334	12729	19.508287	4192	5236.310663	5.59E-6	-3.651990546	0.384456882	1.17E-6	-4.860578963	11.136479	14.137526	2320	9.450055	1459	14.493519	3133	9.721859	2427	12.97641773	12.13871312	13.0002915	12.11303459	11.67163406	11.34365776	11.69102782	11.36612389	NM_001113239,NM_022740		3.751196446	0.498159189	-3.751196446
ENSG00000065559	MO000021423,MO000041374	0.03	["E12(h)","E2A(h)","E47(h)","ITF-1(h)","Miz-1(h)","RelA-p35(h)","RelA-p65(h)","RelA-p65-delta(h)","RelA-p65-delta2(h)","RelA-p65-isoform1(h)","RelA-p65-isoform4(h)","SNA(h)","STAT3(h)","STAT3-isoform1(h)","STAT3-isoform2(h)","STAT3-isoform3(h)","beta-catenin(h)","beta-catenin-isoform1(h)","c-Fos(h)","c-Jun(h)","foxm1(h)","foxm1-isoform1(h)","foxm1-isoform2(h)"]	["MO000013123","MO000017049","MO000018137","MO000019363","MO000019469","MO000024771","MO000024773","MO000024920","MO000025736","MO000026496","MO000027350","MO000028099","MO000032492","MO000044348","MO000058322","MO000058538","MO000078237","MO000078241","MO000079319","MO000079350","MO000079681","MO000088314","MO000129437","MO000133252","MO000165730","MO000257758"]	MKK4(h),MKK4-isoform1(h)	9.964563	206	87066	26	0.54968184	2.0920115	75.88203796148865	mitogen-activated protein kinase kinase 4	ENSG00000065559	MAP2K4	6416	9.413019449	13.197108	570	9.454052	661	13.792525	770	12.445938	682	766.2460183	0.049881043	1.249182764	0.145353939	0.027223624	2.208296317	9.732641666	16.228235	679	17.234924	679	20.665936	1129	17.084879	1087	9.4875393	9.33299079	9.52568955	9.55409636	9.601479	9.62524534	9.80216632	9.61966527	NM_001281435,NM_003010	P45985	3.242515872	0.098572291	3.242515872
