ID	Gene description	Gene_symbol_1	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore	Gene symbol ID
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_03,V$ZFX_04	0.7395833333333333	0.42418772563176893	2.9074007936507935	0.7621	0.01036132614235341	NaN		X-linked,zinc finger protein	ZFX	7543	9.965733795	10.404884	889	7.682837	1066	10.333277	1112	8.34002	881	970.6753737	0.575836761	-1.061950186	0.124880204	0.48743501	-0.694394232	9.878642195	10.728805	896	8.846417	698	10.650802	1155	9.557321	1174	10.00862456	9.87408866	9.98184176	9.91535888	9.98128921	9.79425765	9.96249398	9.82956529	NM_001178084,NM_001178085,NM_001178086,NM_001178095,NM_001330327,NM_003410	1.418271206	0.061406873	-1.418271206	ZFX
ENSG00000006468	ets variant 1	ETV1	V$ER81_05,V$GCM1ETV1_01,V$HOXD12ETV1_01,V$TFAP4ETV1_01	15.057291666666668	13.300240673886883	1.6061791202251254	0.79345	0.007939891615257887	NaN		ETS variant 1	ETV1	2115	9.575882379	13.935111	1059	4.833192	575	8.579928	839	4.647763	448	744.6929572	0.884355788	-1.050792822	0.350019051	0.838187477	-0.204212457	9.504231901	11.737722	832	8.652534	596	7.129623	681	7.904526	842	9.99808915	9.17970485	9.56215638	9.171915	9.74341462	9.47771309	9.33542775	9.36736077	NM_001163147,NM_001163148,NM_001163149,NM_001163150,NM_001163151,NM_001163152,NM_004956,NR_120445	0.182930493	0.391681435	-0.182930493	ETV1
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	14.145833333333334	11.08303249097473	2.8905620452538168	0.87415	4.963654698609075E-9	NaN		E2F transcription factor 2	E2F2	1870	5.586556447	0.284826	17	1.019801	96	0.156565	12	0.962147	71	102.4032714	0.011697093	3.256828423	0.610316472	0.005252567	2.791121976	7.292353672	1.4514	82	3.619677	191	1.717542	127	3.019687	258	5.4753331	6.35733665	5.21227712	6.30882859	6.47017516	7.23554094	6.6042381	7.07565947	NM_004091	2.933415762	0.581505441	2.933415762	E2F2
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	V$MYOGNF1_01,V$NF1FAMILY_Q4,V$NF1_Q6_02,V$NFIX_03	2.34375	1.990072202166065	2.630892052512018	0.926725	0.049454997477303086	4.473969787805444	Q14938-5	nuclear factor I X	NFIX	4784	11.54500094	46.818497	2901	31.258163	3143	42.46066	3402	29.603635	2328	2004.75343	9.33E-28	-2.925727799	0.137853013	2.74E-29	-11.23512293	9.996376384	15.438244	931	14.591085	848	14.416823	1145	14.066234	1321	11.40928353	11.16920887	11.31975615	11.11401438	10.39224808	10.34173257	10.33888106	10.31551493	NM_001271043,NM_001271044,NM_002501	11.41466144	0.135669776	-11.41466144	NFIX
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06	0.5416666666666666	0.2607300441235459	5.698995821042281	0.7369	0.0010566758629453595	NaN		ZFP64 zinc finger protein	ZFP64	55734	8.289843222	7.906057	281	5.672522	314	7.476551	347	6.29392	289	292.8535416	0.372238307	-1.148249534	0.186542596	0.285016138	-1.069118807	8.09140991	7.976384	280	6.278057	206	7.724181	349	5.481521	285	8.31386471	8.12263929	8.27654785	8.25292502	8.2771226	8.04645899	8.23029592	7.92500308	NM_001319146,NM_018197,NM_022088,NM_199426,NM_199427	2.387507138	0.083113181	-2.387507138	ZFP64
ENSG00000025156	heat shock transcription factor 2	HSF2	V$HSF2_01,V$HSF2_05,V$HSF2_06,V$HSF2_07,V$HSF2_08,V$HSF2_Q6	0.8576388888888888	0.5324909747292418	1.6716171520382561	0.8631000000000001	0.01824098030287191	NaN		heat shock transcription factor 2	HSF2	3298	7.628797946	6.343712	191	4.070099	199	5.851985	225	4.254574	163	256.723512	8.21752E-4	1.597707884	0.18566682	2.71634E-4	3.640950265	8.301604489	7.562375	218	14.910926	301	8.905664	332	10.834862	480	7.8993761	7.66310872	7.82554484	7.69436699	7.97547475	8.27533812	8.09743271	8.26689612	NM_001135564,NM_001243094,NM_004506	6.060904842	0.111007607	6.060904842	HSF2
ENSG00000065970	forkhead box J2	FOXJ2	V$FOXJ2_04	0.3333333333333333	0.15643802647412755	2.1307692307692307	0.9712	0.015749349573847948	NaN		forkhead box J2	FOXJ2	55810	9.515289882	10.065092	616	8.85635	877	9.111599	720	8.862798	687	569.5258113	1.24E-17	-1.7968807	0.095190788	6.56E-19	-8.882105582	8.66980489	5.978031	354	6.012057	335	6.205401	484	5.840618	526	9.36574558	9.37843684	9.278761	9.37401202	8.86453272	8.84280821	8.89389633	8.82166149	NM_018416	17.8829925	0.04727872	-17.8829925	FOXJ2
ENSG00000067955	core-binding factor, beta subunit	CBFB	V$AML_Q6,V$PEBP2B_Q6,V$PEBP_Q6	1.0069444444444444	0.595667870036101	1.8248048956639666	0.8994666666666666	0.0023998618724815723	80.70121540427499	Q13951-2	core-binding factor beta subunit	CBFB	865	9.952402384	20.052294	699	27.759974	1561	8.991452	404	28.940189	1274	890.3193464	0.516043111	-1.254213841	0.408876562	0.42416141	-0.799222496	9.625474036	15.032365	507	24.665034	783	15.877404	704	26.655097	1366	9.71577818	10.12608692	9.08294464	10.15913393	9.41853545	9.80310993	9.46025841	9.87241802	NM_001755,NM_022845	0.652464389	0.50106696	-0.652464389	CBFB
ENSG00000071564	transcription factor 3	TCF3	V$E12_Q6,V$E2A_03,V$E2A_04,V$E2A_Q2,V$E2A_Q6_01,V$E2A_Q6_02,V$E47_01,V$E47_02,V$FLI1TCF3_01,V$HAND1E47_01,V$HOXB2TCF3_01,V$MATH1_Q2,V$MYOD_Q6_01,V$TAL1BETAE47_01,V$TEAD4TCF3_01	3.1652777777777783	2.765744083433613	1.6642728990324906	0.87746	0.03682510184983683	NaN		transcription factor 3	TCF3	6929	10.74716727	28.96635	1405	30.620583	2277	28.128426	1622	27.529728	1548	1504.236058	0.078810701	-1.332692592	0.207654387	0.046004271	-1.995354118	10.33281353	20.462672	848	33.046416	1345	20.890215	1192	30.206003	2041	10.64874633	10.77559343	10.5523821	10.64619397	10.19490836	10.60056882	10.24625873	10.54881364	NM_001136139,NM_001351778,NM_001351779,NM_003200	4.522070291	0.091629213	-4.522070291	TCF3
ENSG00000072736	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	NFATC3	V$NFATC3_04,V$NFATC3_05,V$NFATC3_06,V$NFATC3_07,V$NFAT_Q4_01	1.1333333333333333	0.7340553549939831	3.910416134050446	0.84398	0.035846284461684315	NaN		nuclear factor of activated T-cells 3	NFATC3	4775	9.299751311	8.215494	581	5.918766	678	7.791134	712	5.744931	518	559.4584387	0.01269547	-1.288262331	0.132325908	0.005752532	-2.76156353	8.93274503	5.525062	381	6.659005	435	5.664222	519	6.804763	720	9.31725589	9.15866198	9.27284283	9.13336187	8.93009887	9.06074456	8.9565187	9.08301406	NM_004555,NM_173163,NM_173165	4.145048725	0.088540885	-4.145048725	NFATC3
