ID	Gene symbol ID	Transpath ID	Average Intensity	UniProt ID	Description	Gene_Symbol	Genes: Entrez ID	MCF10A.mean	MCF10A_1_FPKM	MCF10A_1_Read_Count	MCF10A_2_FPKM	MCF10A_2_Read_Count	MCF10A_3_FPKM	MCF10A_3_Read_Count	MCF10A_4_FPKM	MCF10A_4_Read_Count	MDA_MB.231.MCF10A.baseMean	MDA_MB.231.MCF10A.bh.pval	MDA_MB.231.MCF10A.fc	MDA_MB.231.MCF10A.lfcSE	MDA_MB.231.MCF10A.raw.pval	MDA_MB.231.MCF10A.stat	MDA_MB.231.mean	MDA_MB.231_1_FPKM	MDA_MB.231_1_Read_Count	MDA_MB.231_2_FPKM	MDA_MB.231_2_Read_Count	MDA_MB.231_3_FPKM	MDA_MB.231_3_Read_Count	MDA_MB.231_4_FPKM	MDA_MB.231_4_Read_Count	N_MCF10A_1	N_MCF10A_2	N_MCF10A_3	N_MCF10A_4	N_MDA_MB.231_1	N_MDA_MB.231_2	N_MDA_MB.231_3	N_MDA_MB.231_4	Transcript_ID	abs_zscore	sd_mcf10a	zscore
ENSG00000005339	CREBBP	MO000057745	2.526479531347272	Q92793	CREB binding protein	CREBBP	1387	10.66475877	14.042294	1597	8.879969	1634	13.122466	1927	8.541827	1232	1457.524964	0.163090244	-1.256685468	0.2046045	0.107173589	-1.611028142	10.33505474	11.941867	1316	8.54278	885	11.593917	1681	8.823029	1478	10.7463486	10.47008504	10.68657144	10.43364564	10.54136875	10.23342861	10.51466271	10.2621034	NM_001079846,NM_004380	2.121450872	0.155414407	-2.121450872
ENSG00000025156	HSF2	MO000084504,MO000084506	NaN		heat shock transcription factor 2	HSF2	3298	7.628797946	6.343712	191	4.070099	199	5.851985	225	4.254574	163	256.723512	8.21752E-4	1.597707884	0.18566682	2.71634E-4	3.640950265	8.301604489	7.562375	218	14.910926	301	8.905664	332	10.834862	480	7.8993761	7.66310872	7.82554484	7.69436699	7.97547475	8.27533812	8.09743271	8.26689612	NM_001135564,NM_001243094,NM_004506	6.060904842	0.111007607	6.060904842
ENSG00000026103	FAS	MO000004928	NaN		Fas cell surface death receptor	FAS	355	9.612010153	11.432822	502	15.02095	1063	12.215348	692	15.771662	876	431.4509729	9.92E-32	-9.726277288	0.272728247	2.37E-33	-12.03354534	6.328543172	1.303952	56	2.001316	81	1.136506	64	2.140955	139	8.81805898	9.21582535	8.88122151	9.2606395	7.09779994	7.3362087	7.01443893	7.37206713	NM_000043,NM_001320619,NM_152871,NM_152872,NR_028033,NR_028034,NR_028035,NR_028036,NR_135313,NR_135314,NR_135315	14.4920221	0.226570658	-14.4920221
ENSG00000033800	PIAS1	MO000030911,MO000079236	2.469548292043112	O75925	protein inhibitor of activated STAT 1	PIAS1	8554	10.14675394	15.052029	1063	10.578957	1209	15.643192	1427	8.876501	795	879.7488544	5.43E-6	-1.812271525	0.176253388	1.13E-6	-4.866851839	9.289678055	7.978193	546	8.677272	559	8.120329	732	7.18784	748	10.08320282	9.90076822	10.11744676	9.74628329	9.48901681	9.5292538	9.50232263	9.38705458	NM_001320687,NM_016166	4.972231261	0.17237249	-4.972231261
ENSG00000034152	MAP2K3	MO000009403,MO000022217,MO000078695	168.70007706867136	P46734	mitogen-activated protein kinase kinase 3	MAP2K3	5606	7.756800165	7.791975	203	6.184956	258	7.246056	243	4.46164	155	519.3467542	3.93E-30	3.802121798	0.164404054	1.01E-31	11.71993452	9.683708655	25.049352	633	33.143173	782	25.642194	855	30.725236	1166	8.31260148	8.2379101	8.2560641	8.04907785	9.22949868	9.45160819	9.25256576	9.37941379	NM_001316332,NM_002756,NM_145109	16.84349011	0.114400785	16.84349011
ENSG00000039068	CDH1	MO000016977	NaN		cadherin 1	CDH1	999	2.90186554	0.157692	9	0.142147	13	0.081407	6	0.027819	2	53.3653757	1.76236E-4	13.2631589	0.919408345	4.99E-5	4.056252633	6.633094463	2.820121	149	0.232293	12	3.217824	224	0.192806	16	4.14705392	4.1438827	3.85485867	3.64686165	6.33644409	4.28987751	6.47683617	4.16861082	NM_001317184,NM_001317185,NM_001317186,NM_004360	15.34597466	0.243140563	15.34597466
ENSG00000050748	MAPK9	MO000030859,MO000030860,MO000031000,MO000256146	25.2930196772052	P45984-2	mitogen-activated protein kinase 9	MAPK9	5601	10.14633045	18.295283	819	19.895377	1472	18.585369	1111	19.911538	1127	1023.105731	0.082086267	-1.241423929	0.157949384	0.048235233	-1.975290129	9.834310831	15.77759	694	20.654114	833	15.155543	909	21.104529	1412	9.96533176	10.17793985	10.00779312	10.15383302	9.7959196	9.9697139	9.79101229	10.01275665	NM_001135044,NM_001308244,NM_002752,NM_139068,NM_139069,NM_139070	2.959376056	0.105434258	-2.959376056
ENSG00000051523	CYBA	MO000161481	33.32601681047207	P13498				NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN		NaN		NaN		NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN		NaN	NaN	NaN
ENSG00000055130	CUL1	MO000044588	68.05117173261286	Q13616	cullin 1	CUL1	8454	10.29692759	27.758881	994	25.459166	1475	27.812712	1285	27.281071	1238	1528.778174	0.013494588	1.430565315	0.188578689	0.006155848	2.739362394	10.8134176	35.989735	1248	55.590004	1813	35.768028	1633	54.719711	2885	10.36339365	10.4090537	10.36480139	10.4626912	10.52036151	10.87225622	10.51443425	10.86101828	NM_003592	11.01901751	0.046872601	11.01901751
ENSG00000055332	EIF2AK2	MO000008180,MO000094946	176.43568744078314	P19525	eukaryotic translation initiation factor 2 alpha kinase 2	EIF2AK2	5610	9.636419086	14.560154	668	11.042216	866	13.895798	870	12.798125	744	907.9509168	6.35E-5	1.282965864	0.083420233	1.64E-5	4.309299679	9.994374975	20.656974	832	22.907373	874	21.383344	1143	21.149553	1429	9.72432209	9.65884866	9.73193408	9.73084206	9.87635387	9.94275975	9.91229722	9.95542313	NM_001135651,NM_001135652,NM_002759	10.15403025	0.035252592	10.15403025
ENSG00000064012	CASP8	MO000020219,MO000021036	41.871167986078945	Q14790	caspase 8	CASP8	841	8.246578145	10.530892	291	5.514414	283	9.694293	364	6.073915	254	349.7738028	0.043550017	1.305909794	0.169736644	0.023295999	2.268545178	8.628743735	12.854468	347	11.814039	313	10.306645	409	13.459361	600	8.44766133	8.15045315	8.42162917	8.25435622	8.56340407	8.49915834	8.46866987	8.64898221	NM_001080124,NM_001080125,NM_001228,NM_033355,NM_033356,NM_033358,NR_111983	2.709725557	0.141034796	2.709725557
