ID	Ensembl ID	Average Intensity	UniProt ID	Gene symbol ID	Gene symbol ID_1	MDA_MB-231_MCF10A.baseMean	MDA_MB-231_MCF10A.bh.pval	MDA_MB-231_MCF10A.fc	MDA_MB-231_MCF10A.lfcSE	MDA_MB-231_MCF10A.raw.pval	MDA_MB-231_MCF10A.stat
MO000007821	ENSG00000107643	24.878764667950193	P45983-3	MAPK8	MAPK8	461.269615013245	0.37272728328267	1.20379634592002	0.25056454441379	0.285541378896841	1.06795374116599
MO000013123	ENSG00000168610	167.9039331818393	P40763,P40763-2	STAT3	STAT3	2037.48195533976	0.429944633477828	1.16730895519789	0.23357996074432	0.339323170790929	0.955503431639567
MO000013471	ENSG00000135605	NaN		TEC	TEC	53.9402887646969	5.52072648042522E-5	2.31956219602993	0.279539339883117	1.40978486812963E-5	4.34233167752585
MO000014018	ENSG00000137801	279.25574014539933	P07996	THBS1	THBS1	49320.2247396386	1.65759304456382E-7	-4.59408163088353	0.395570262486817	2.68193322224449E-8	-5.56102594249032
MO000016677	ENSG00000146648	258.9332697492885	P00533	EGFR	EGFR	3144.03454492418	4.20773398011918E-5	1.85308903495826	0.201943931634948	1.04895351345747E-5	4.40682813627766
MO000017774	ENSG00000139687	14.648864583670104	P06400	RB1	RB1	1555.22889507363	0.0332885944975267	-1.37780096164364	0.19402076596596	0.0171683467533986	-2.3830824900603
MO000018902	ENSG00000101266	NaN		CSNK2A1	CSNK2A1	2654.56376201827	0.656923338234237	-1.02871897449663	0.0727090195788001	0.57424298283527	-0.561813661964858
MO000019107	ENSG00000005339	2.526479531347272	Q92793	CREBBP	CREBBP	1457.52496440234	0.163090243678491	-1.25668546779833	0.204604499602449	0.107173588703008	-1.61102814246473
MO000019259	ENSG00000110395	34.89653254627652	P22681	CBL	CBL	806.493103484182	0.832202334092148	-1.0197688171648	0.0984159086130285	0.774137506556101	-0.286967106594158
MO000019311	ENSG00000213341	5.218629932884591	O15111	CHUK	CHUK	546.603478143637	0.00289079349583529	1.75690295909026	0.249077193255569	0.00109778728225969	3.26418688517434
MO000019356	ENSG00000109320	37.44628244619395	P19838	NFKB1	NFKB1	803.43007017609	0.191675813590783	-1.09227048454242	0.0839346722024251	0.129262879711728	-1.51701506817061
MO000019359	ENSG00000109320	37.44628244619395	P19838	NFKB1	NFKB1	803.43007017609	0.191675813590783	-1.09227048454242	0.0839346722024251	0.129262879711728	-1.51701506817061
MO000019548	ENSG00000141510	204.22253568233248	P04637	TP53	TP53	1237.74066869003	0.00156423807645559	1.81612598838553	0.249350004696297	5.55554567340117E-4	3.45243341729068
MO000019779	ENSG00000175387	174.31321561585594	Q15796-2	SMAD2	SMAD2	1189.52062926359	0.00429668060203757	-1.21880489414481	0.0910052573919657	0.00170790390222828	-3.13682095421186
MO000019985	ENSG00000100393	2.2722006353915436	Q09472	EP300	EP300	1064.26354596682	0.343551119307991	1.18844202623241	0.220488299564773	0.258629620451932	1.12963603476418
MO000020808	ENSG00000177885	187.9603652582619	P62993	GRB2	GRB2	1334.63082681017	0.605021364811928	1.12488381030059	0.261839996258858	0.516728890448844	0.648395947963573
MO000020951	ENSG00000160691	40.76409565041987	P29353,P29353-6	SHC1	SHC1	8898.55481553357	3.30742183545289E-12	-3.50432906354568	0.247865388358455	2.90185776578789E-13	-7.2988740592094
MO000020953	ENSG00000160691	40.76409565041987	P29353,P29353-6	SHC1	SHC1	8898.55481553357	3.30742183545289E-12	-3.50432906354568	0.247865388358455	2.90185776578789E-13	-7.2988740592094
MO000020954	ENSG00000160691	40.76409565041987	P29353,P29353-6	SHC1	SHC1	8898.55481553357	3.30742183545289E-12	-3.50432906354568	0.247865388358455	2.90185776578789E-13	-7.2988740592094
MO000021274	ENSG00000105974	3034.498095041723	Q03135	CAV1	CAV1	16653.289549821	0.068358475824968	-1.99461552180703	0.482693634549965	0.0390509204672298	-2.0636499238201
MO000021343	ENSG00000096968	NaN		JAK2	JAK2	125.18100216681	3.32080868630976E-11	-2.79267787943466	0.212700206089263	3.2630204331688E-12	-6.96590381007725
MO000021373	ENSG00000179295	181.97356175760711	Q06124,Q06124-2	PTPN11	PTPN11	3542.51872804251	1.12498196322503E-4	2.04117284031807	0.2469817168401	3.07400979995767E-5	4.16791317085576
MO000021736	ENSG00000123374	218.76822164939668	P24941	CDK2	CDK2	667.531248312675	0.0431998701364647	1.83335782496876	0.384930860991681	0.0230982065658831	2.27180639298217
MO000021739	ENSG00000145386	15.26482101015249	P20248	CCNA2	CCNA2	1566.37048184588	3.53726664832162E-6	4.7942773177543	0.456089054510373	7.12034168707072E-7	4.95805224782499
MO000021743	ENSG00000170312	1423.1717661354924	P06493	CDK1	CDK1	959.784978022744	1.61627096194256E-6	4.03124745180969	0.392913032437758	3.07555890856088E-7	5.11875702112458
MO000021896	ENSG00000112592	NaN		TBP	TBP	336.181559475687	0.00869292969157514	1.69090124514421	0.261564401948291	0.00376564627351761	2.89715419171657
MO000021981	ENSG00000012048	NaN		BRCA1	BRCA1	426.773887385763	6.34689114944607E-4	2.81170100084722	0.401405669897799	2.02761467963283E-4	3.71555086724233
MO000022078	ENSG00000161638	133.48982999709932	P08648	ITGA5	ITGA5	10007.64012755	0.992502012955647	-1.0033037403547	0.368256041394666	0.989690392522345	-0.0129215363693407
MO000022393	ENSG00000154229	199.71339432628253	P17252	PRKCA	PRKCA	2631.90052390709	0.0025471728599244	-1.45538546773123	0.163882606635757	9.54545555762848E-4	-3.30359225699653
MO000023533	ENSG00000160691	40.76409565041987	P29353,P29353-6	SHC1	SHC1	8898.55481553357	3.30742183545289E-12	-3.50432906354568	0.247865388358455	2.90185776578789E-13	-7.2988740592094
MO000023575	ENSG00000116478	263.6052229299427	Q13547	HDAC1	HDAC1	1291.37644495307	0.0540758756823442	1.20391644330342	0.123255892818256	0.0298413047674806	2.17219039632227
MO000023642	ENSG00000170836	NaN		PPM1D	PPM1D	298.497426833334	1.7016497784969E-7	-1.64165843490849	0.128715157115421	2.75872481289299E-8	-5.55609771060214
MO000026185	ENSG00000115750	NaN		TAF1B	TAF1B	418.036682270635	8.2438144751956E-14	2.38999618540016	0.161130063389048	6.13198340971652E-15	7.80120288621359
MO000028292	ENSG00000175387	174.31321561585594	Q15796-2	SMAD2	SMAD2	1189.52062926359	0.00429668060203757	-1.21880489414481	0.0910052573919657	0.00170790390222828	-3.13682095421186
MO000028475	ENSG00000136603	NaN		SKIL	SKIL	1469.52647289527	7.12108112612814E-21	-7.59231835731579	0.301516572536209	3.03171887684614E-22	-9.69943530267081
MO000028665	ENSG00000116017	NaN		ARID3A	ARID3A	146.030527861295	4.10188457070057E-30	-3.6990940347019	0.161076894936301	1.05576632414632E-31	-11.7159694221673
MO000030911	ENSG00000033800	2.469548292043112	O75925	PIAS1	PIAS1	879.748854395653	5.43418570423398E-6	-1.81227152541041	0.176253387867804	1.13389969611616E-6	-4.86685183868601
MO000030927	ENSG00000253729	437.216668420702	P78527	PRKDC	PRKDC	3450.81880266822	0.154925545154554	1.38620825572928	0.287167150120097	0.100867752749756	1.64066125087954
MO000030998	ENSG00000107643	24.878764667950193	P45983-3	MAPK8	MAPK8	461.269615013245	0.37272728328267	1.20379634592002	0.25056454441379	0.285541378896841	1.06795374116599
MO000031070	ENSG00000140464	161.8802121253423	P29590,P29590-11,P29590-14,P29590-2,P29590-3	PML	PML	1116.27513453023	0.589152982949823	-1.12160597710978	0.246086962709914	0.501078069189538	-0.672794449865716
MO000031199	ENSG00000253729	437.216668420702	P78527	PRKDC	PRKDC	3450.81880266822	0.154925545154554	1.38620825572928	0.287167150120097	0.100867752749756	1.64066125087954
MO000031200	ENSG00000253729	437.216668420702	P78527	PRKDC	PRKDC	3450.81880266822	0.154925545154554	1.38620825572928	0.287167150120097	0.100867752749756	1.64066125087954
MO000032420	ENSG00000077312	333.2695982603265	P09012	SNRPA	SNRPA	1079.40572942295	2.21395783720785E-7	1.88598055718932	0.166204412288275	3.64662419969079E-8	5.50716308046945
MO000032481	ENSG00000087586	48.20868280640476	O14965	AURKA	AURKA	1311.43192554705	1.71695505275353E-12	6.54779176224536	0.366844719130666	1.46750670635995E-13	7.39007078336287
MO000032670	ENSG00000131788	NaN		PIAS3	PIAS3	1663.88060979324	1.39715853684813E-39	-2.50435049251263	0.0983125960063026	2.29561459312157E-41	-13.4716866440637
MO000032682	ENSG00000077238	NaN		IL4R	IL4R	542.597331613035	1.37962404604748E-4	1.67165118125839	0.180025236252683	3.82820688021097E-5	4.1176106813932
MO000032714	ENSG00000004897	37.92796262236561	P30260	CDC27	CDC27	2817.17016246372	0.00130946453910923	1.61193783929779	0.196510662385217	4.56378333096264E-4	3.50513352475602
MO000033238	ENSG00000090339	NaN		ICAM1	ICAM1	1322.72279158532	1.43098653019702E-23	37.5155859900186	0.506307628580546	5.23517532698547E-25	10.3285391980539
MO000033243	ENSG00000197386	1.9732336818458427	P42858	HTT	HTT	714.387127774189	0.973281156640166	-1.00423838504886	0.128391250138587	0.962094922383355	-0.0475248536254526
MO000033313	ENSG00000072062	206.6057858634363	P17612	PRKACA	PRKACA	1799.25257007234	0.00745807733043592	-1.34504661958813	0.144981974186003	0.00318062399466344	-2.94971964723019
MO000033435	ENSG00000170027	6613.047792994925	P61981	YWHAG	YWHAG	4004.29313259264	0.36614964603143	1.15338860294215	0.190418848628322	0.279613266718458	1.08118851290072
MO000033485	ENSG00000107643	24.878764667950193	P45983-3	MAPK8	MAPK8	461.269615013245	0.37272728328267	1.20379634592002	0.25056454441379	0.285541378896841	1.06795374116599
MO000034171	ENSG00000164109	130.4872428917696	Q13257	MAD2L1	MAD2L1	540.994919237664	1.39465384237444E-5	4.46761028130523	0.4633450833046	3.15165805577453E-6	4.66068038684562
MO000034274	ENSG00000123384	NaN		LRP1	LRP1	4195.86680708256	1.00031751725611E-5	-11.2854845992542	0.738467093636864	2.19414040612226E-6	-4.7346679280219
MO000034981	ENSG00000115414	NaN		FN1	FN1	524914.569562351	1.34012829330382E-56	-72.850807939301	0.383173702861622	1.20400032826163E-58	-16.1463926700114
MO000035011	ENSG00000096063	318.9419498812291	Q96SB4	SRPK1	SRPK1	3469.98900369649	1.04139203315325E-29	4.53339731980377	0.18741415932151	2.73096737144196E-31	11.6351540168906
MO000035129	ENSG00000171150	NaN		SOCS5	SOCS5	645.73225370316	2.34407431518218E-13	-1.95972712512432	0.126688702193675	1.83465792212154E-14	-7.66171543982251
MO000041770	ENSG00000197386	1.9732336818458427	P42858	HTT	HTT	714.387127774189	0.973281156640166	-1.00423838504886	0.128391250138587	0.962094922383355	-0.0475248536254526
MO000041771	ENSG00000197386	1.9732336818458427	P42858	HTT	HTT	714.387127774189	0.973281156640166	-1.00423838504886	0.128391250138587	0.962094922383355	-0.0475248536254526
MO000041773	ENSG00000197386	1.9732336818458427	P42858	HTT	HTT	714.387127774189	0.973281156640166	-1.00423838504886	0.128391250138587	0.962094922383355	-0.0475248536254526
MO000041953	ENSG00000197386	1.9732336818458427	P42858	HTT	HTT	714.387127774189	0.973281156640166	-1.00423838504886	0.128391250138587	0.962094922383355	-0.0475248536254526
MO000041954	ENSG00000197386	1.9732336818458427	P42858	HTT	HTT	714.387127774189	0.973281156640166	-1.00423838504886	0.128391250138587	0.962094922383355	-0.0475248536254526
MO000041955	ENSG00000197386	1.9732336818458427	P42858	HTT	HTT	714.387127774189	0.973281156640166	-1.00423838504886	0.128391250138587	0.962094922383355	-0.0475248536254526
MO000041956	ENSG00000197386	1.9732336818458427	P42858	HTT	HTT	714.387127774189	0.973281156640166	-1.00423838504886	0.128391250138587	0.962094922383355	-0.0475248536254526
MO000042605	ENSG00000177479	11.177140355448643	O95376	ARIH2	ARIH2	1199.42094552759	7.84677584117894E-7	1.34168786333822	0.0805622922207471	1.41248316234577E-7	5.26361730074481
MO000042656	ENSG00000088325	76.33775254705671	Q9ULW0	TPX2	TPX2	3737.82574532443	9.9790962888364E-9	4.10385569262502	0.335973538042968	1.33673851542082E-9	6.0629179696325
MO000042701	ENSG00000080986	51.96958395166867	O14777	NDC80	NDC80	456.002120749928	5.84451316569092E-8	4.5696857116493	0.381148618358299	8.8566820462076E-9	5.75128660886129
MO000042717	ENSG00000117399	22.522729879670077	Q12834	CDC20	CDC20	1278.02720833175	2.64959870458479E-7	5.90040400134196	0.467860720795849	4.41349585919507E-8	5.47345315716201
MO000042777	ENSG00000163235	NaN		TGFA	TGFA	576.419339327846	3.21330396057167E-95	24.4348958047223	0.219617303636577	7.28227526475166E-98	20.9950262169471
MO000043404	ENSG00000130177	9.48703397680625	Q13042-2	CDC16	CDC16	1031.1020078477	0.00509830396904764	-1.29035753850502	0.119407601755221	0.00207027041786419	-3.07996195009016
MO000043409	ENSG00000164162	7.585845646924412	Q9UM13	ANAPC10	ANAPC10	195.646133796634	0.261963260735703	1.22433819771511	0.221131585262219	0.186671351478521	1.3204903629774
MO000043490	ENSG00000105325	NaN		FZR1	FZR1	530.841924558971	0.0832357709506807	-1.17569802183596	0.118624260345507	0.0490050180408945	-1.96854800778058
MO000043755	ENSG00000161057	1924.454959588378	P35998	PSMC2	PSMC2	1610.05867372666	0.0981906443005599	1.47047101994504	0.294887887168635	0.0592402316969951	1.88640624476142
MO000043778	ENSG00000123384	NaN		LRP1	LRP1	4195.86680708256	1.00031751725611E-5	-11.2854845992542	0.738467093636864	2.19414040612226E-6	-4.7346679280219
MO000043848	ENSG00000164104	4493.591932139545	P26583	HMGB2	HMGB2	1378.50529199658	5.12259959388201E-4	2.35780120698245	0.327775867678869	1.5983505814986E-4	3.77526904109738
MO000044992	ENSG00000164611	3.762422121026722	O95997	PTTG1	PTTG1	740.553798617034	1.93991596145726E-5	3.50121652638967	0.394146027662098	4.50160992432048E-6	4.58676774217041
MO000045014	ENSG00000140464	161.8802121253423	P29590,P29590-11,P29590-14,P29590-2,P29590-3	PML	PML	1116.27513453023	0.589152982949823	-1.12160597710978	0.246086962709914	0.501078069189538	-0.672794449865716
MO000056100	ENSG00000131747	210.46694808627933	P11388	TOP2A	TOP2A	5396.04528223023	4.16795486402994E-8	3.96150573621065	0.341656575418963	6.13639004263088E-9	5.81299771209314
MO000056241	ENSG00000169679	NaN		BUB1	BUB1	1246.26234692544	2.04204281561296E-11	6.50897385801608	0.384016059495056	1.96022887844352E-12	7.0372841268605
MO000056623	ENSG00000141510	204.22253568233248	P04637	TP53	TP53	1237.74066869003	0.00156423807645559	1.81612598838553	0.249350004696297	5.55554567340117E-4	3.45243341729068
