ID	Gene description	Gene_symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000005073	homeobox A11	HOXA11	V$HOXA11_06	0.0859375	0.0315884476534296	2.7205357142857145	0.9938	0.013390009910566183
ENSG00000005513	SRY (sex determining region Y)-box 8	SOX8	V$SOX_Q6	0.03125	0.006768953068592058	4.616666666666667	0.9458	0.049088068318956096
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_03,V$ZFX_04	0.93359375	0.7524819494584838	1.7539605761562997	0.7446	0.013944517108838988
ENSG00000007372	paired box 6	PAX6	V$PAX6_01,V$PAX6_Q2,V$PAX_Q6	0.3541666666666667	0.2339049338146811	1.6302945232466508	0.8161999999999999	0.024542414008259805
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	8.5390625	6.033393501805054	3.2245493863830648	0.87585	3.5273348266334028E-15
ENSG00000011332	D4, zinc and double PHD fingers family 1	DPF1	V$NEUD4_01,V$NEUD4_02	0.30859375	0.22901624548736463	2.154074519230769	0.9156500000000001	0.039189146310117356
ENSG00000011590	zinc finger and BTB domain containing 32	ZBTB32	V$ZBTB32_01	0.046875	0.004512635379061372	10.3875	0.799	0.0023170739186256133
ENSG00000012504	nuclear receptor subfamily 1, group H, member 4	NR1H4	V$FXRIR1_Q6,V$FXRRXRA_02,V$FXRRXR_Q5,V$FXR_02,V$FXR_Q2,V$LXR_Q6,V$NR1H4_02	3.1763392857142856	2.7456162970603404	1.5586249469502698	0.813557142857143	0.013177164841867092
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_01,V$ZNF582_02,V$ZNF582_03,V$ZNF582_04	0.314453125	0.21886281588447654	3.274831947767145	0.8085749999999999	0.02719149809057354
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	3.095703125	2.7775270758122743	2.3063462969322344	0.7370000000000001	0.004970844003028848
