Gene_ID,Transcript_ID,Gene_Symbol,Description,MCF10A_1_FPKM,MCF10A_2_FPKM,MCF10A_3_FPKM,MCF10A_4_FPKM,MDA_MB.231_1_FPKM,MDA_MB.231_2_FPKM,MDA_MB.231_3_FPKM,MDA_MB.231_4_FPKM,MDA_MB.231.MCF10A.fc,MDA_MB.231.MCF10A.baseMean,MDA_MB.231.MCF10A.lfcSE,MDA_MB.231.MCF10A.stat,MDA_MB.231.MCF10A.raw.pval,MDA_MB.231.MCF10A.bh.pval,MCF10A.mean,MDA_MB.231.mean,N_MCF10A_1,N_MCF10A_2,N_MCF10A_3,N_MCF10A_4,N_MDA_MB.231_1,N_MDA_MB.231_2,N_MDA_MB.231_3,N_MDA_MB.231_4,MCF10A_1_Read_Count,MCF10A_2_Read_Count,MCF10A_3_Read_Count,MCF10A_4_Read_Count,MDA_MB.231_1_Read_Count,MDA_MB.231_2_Read_Count,MDA_MB.231_3_Read_Count,MDA_MB.231_4_Read_Count,sd_mcf10a,zscore,abs_zscore
1364,NM_001305,CLDN4,claudin 4,0.08933,0.116917,0.111568,0.075737,31.045954,21.804434,31.923277,21.290277,217.8927248,302.5582852,0.500148292,15.53034239,2.16E-54,2.04E-52,1.441637761,9.23457863,5.11586526,5.10590888,5.09087499,5.08911164,8.53849523,8.13783987,8.56787862,8.12011658,2,4,3,2,615,406,832,641,0.012749751,611.2229858,611.2229858
7570,NM_006963,ZNF22,zinc finger protein 22,0.316796,0.336751,0.395465,0.314596,25.098715,36.44664,27.055555,38.506512,76.42555364,437.4146126,0.295824251,21.14763472,2.90E-99,1.33E-96,3.487481675,9.754241587,5.85441208,5.88306709,5.89224888,5.87551664,8.71486369,9.06308044,8.79046191,9.12516263,8,14,13,10,598,817,848,1395,0.016123011,388.6842112,388.6842112
259232,"NM_001350748,NM_001350749,NM_001350750,NM_001350751,NM_052867",NALCN,"sodium leak channel, non-selective",22.899438,19.990669,23.925754,20.680837,0.936704,0.851214,0.759158,0.73636,-30.96689281,1144.423819,0.125726463,-39.39230152,0,0,11.11404694,6.177508252,10.37919136,10.38693913,10.40359157,10.41630133,7.7888891,7.73086767,7.6845581,7.65334513,1802,2548,2381,2065,72,62,77,86,0.016667155,-296.1836459,296.1836459
27436,"NM_001145076,NM_019063",EML4,echinoderm microtubule associated protein like 4,8.637764,7.478152,8.546972,7.622464,22.218052,29.418785,22.027145,30.217226,2.747121011,1214.758934,0.141709886,10.28806464,7.98E-25,2.16E-23,9.340880972,10.79851606,9.671261,9.66934498,9.66353568,9.68105106,10.40163679,10.62778768,10.39299175,10.65574525,536,751,685,600,1335,1663,1742,2761,0.007284491,200.1011461,200.1011461
3916,NM_005561,LAMP1,lysosomal associated membrane protein 1,130.674133,113.717209,131.639359,114.173012,111.728714,80.775162,110.251236,79.432022,-1.493872987,3749.362204,0.168475274,-3.437047331,0.000588093,0.001648715,12.13305542,11.55410658,12.01355438,12.01632863,12.02079951,12.01600406,11.81562076,11.52008121,11.80353163,11.50900763,3701,5212,4815,4101,3066,2085,3983,3314,0.003017722,-191.8496222,191.8496222
978,NM_001785,CDA,cytidine deaminase,1.274579,1.101407,1.131825,1.214663,91.876022,63.814072,93.043999,60.55418,54.35995913,468.119624,0.287759897,20.03223006,2.88E-89,8.91E-87,4.082400066,9.844390048,6.14515225,6.12864336,6.08834064,6.16995531,9.24650294,8.83959824,9.25953184,8.79182467,14,20,16,17,952,622,1269,954,0.034287066,168.0514137,168.0514137
7133,NM_001066,TNFRSF1B,TNF receptor superfamily member 1B,0.0469,0.02957,0.037058,0.018867,7.388111,7.677714,6.654699,7.447741,187.710616,166.5851049,0.563580354,13.40069146,5.99E-41,3.58E-39,0.829968363,8.372397418,4.62325906,4.52392482,4.54722422,4.5335574,7.55606479,7.55953794,7.45032193,7.53634022,2,2,2,1,294,287,348,450,0.045200854,166.8647463,166.8647463
101,"NM_001109,NM_001164489,NM_001164490",ADAM8,ADAM metallopeptidase domain 8,0.207255,0.161635,0.288797,0.143673,65.992069,22.836019,62.99044,26.438411,184.0435095,906.0522385,0.47651543,15.78942169,3.68E-56,3.79E-54,3.288058912,10.81565268,6.34498504,6.29644301,6.39037884,6.29593668,10.32826995,9.1905241,10.2759332,9.32855452,8,10,14,7,2320,758,2911,1400,0.045245797,166.3711175,166.3711175
10581,NM_006435,IFITM2,interferon induced transmembrane protein 2,320.076263,281.537079,324.693756,275.390076,122.085114,48.433647,115.761711,48.869194,-4.157243269,1962.578283,0.352073005,-5.83863899,5.26E-09,3.62E-08,11.6275176,9.572117131,11.24326197,11.25670866,11.25773054,11.2315758,10.33513512,9.64759588,10.29170641,9.6524893,2605,3709,3413,2843,963,360,1202,586,0.012394538,-165.831148,165.831148
3487,NM_001552,IGFBP4,insulin like growth factor binding protein 4,51.524837,46.042789,49.192234,44.766434,515.031433,579.863342,478.738525,547.401794,9.459530143,8092.223191,0.084930993,38.16944104,0,0,10.59547924,13.83735283,11.44105712,11.45995528,11.41135582,11.43914806,13.29717887,13.38087246,13.22512449,13.32736834,1285,1858,1584,1416,12440,13174,15223,20105,0.020021257,161.9215825,161.9215825
387646,NR_003525,LRRC37A6P,"leucine rich repeat containing 37 member A6, pseudogene",0.01984,0.020477,0.026916,0.014719,0.105187,0.224338,0.166429,0.16275,5.430554034,8.087252224,0.613269784,3.980465783,6.88E-05,0.000236708,1.322462693,3.773318889,2.55929991,2.55485235,2.57487723,2.53749449,2.95108734,3.29068601,3.16341605,3.13685949,2,3,3,2,8,15,16,18,0.015377663,159.3776715,159.3776715
1012,"NM_001220488,NM_001220489,NM_001220490,NM_001220491,NM_001220492,NM_001257",CDH13,cadherin 13,58.318137,55.90981,56.732728,54.91506,0.108646,0.03928,0.050116,0.014462,-1240.648806,1641.63533,0.453067747,-22.682875,6.61E-114,3.89E-111,11.67964411,1.534933148,10.68021436,10.79085719,10.6558567,10.76781092,6.85856271,6.80690256,6.7880792,6.74390479,2601,4049,3279,3120,5,2,3,1,0.065700266,-154.4089792,154.4089792
257194,NM_173808,NEGR1,neuronal growth regulator 1,16.373716,13.894942,17.201429,14.67942,0.439335,0.618888,0.181692,1.257114,-28.82718141,656.9880374,0.457745319,-10.59400866,3.18E-26,9.35E-25,10.31082135,5.452610665,9.5724724,9.55148426,9.62379845,9.60183325,6.82790924,6.96047316,6.5551866,7.33097918,1035,1422,1404,1177,27,36,15,118,0.031863979,-152.4671699,152.4671699
2305,"NM_001243088,NM_001243089,NM_021953,NM_202002,NM_202003",FOXM1,forkhead box M1,11.996479,10.191679,12.026209,9.854267,23.963731,66.409896,22.081717,64.848358,3.398758511,1242.472201,0.384464045,4.590826842,4.41E-06,1.91E-05,9.141946801,10.90689597,9.52307189,9.50516907,9.52347905,9.50130126,10.02164228,10.93597817,9.95200219,10.91678859,473,649,611,508,910,2386,1105,3769,0.011678708,151.1253732,151.1253732
91050,"NM_001130726,NM_001330643,NM_001330644,NM_173463",CCDC149,coiled-coil domain containing 149,3.277978,2.890619,3.474494,3.065114,0.442875,0.043235,0.357151,0.072587,-15.60131143,98.60688778,0.545531281,-7.265569431,3.71E-13,4.18E-12,7.533292775,3.581172983,6.83492687,6.86252306,6.89609978,6.88414358,5.24939369,4.54230262,5.1145547,4.5401242,148,213,203,172,20,2,21,5,0.026869675,-147.0847662,147.0847662
7056,NM_000361,THBD,thrombomodulin,0.603693,0.633624,0.653583,0.618394,23.628584,22.228777,22.201048,20.988302,29.6035824,573.789353,0.163260271,29.93808488,6.29E-197,1.30E-193,5.222707447,10.11665225,6.7548689,6.82142274,6.76624014,6.8166534,9.47885007,9.38260584,9.41466066,9.32960754,28,47,38,36,1030,911,1273,1391,0.034138695,143.3547713,143.3547713
3213,"NM_001330322,NM_001330323,NM_002146",HOXB3,homeobox B3,1.497211,1.250668,1.490189,1.275971,0.46234,0.597412,0.240574,0.313445,-4.038230635,45.46150528,0.289722495,-6.950524542,3.64E-12,3.68E-11,6.178660469,4.208340157,5.76885957,5.73738826,5.76470832,5.75290303,4.91974179,5.0230682,4.58399553,4.67001176,61,82,78,66,19,22,13,19,0.014108939,-139.6504912,139.6504912
22873,"NM_014934,NM_198968",DZIP1,DAZ interacting zinc finger protein 1,6.096999,4.824109,6.255643,5.172737,0.03635,0.063118,0.02761,0.079359,-120.2893031,303.9036897,0.342944086,-20.15012015,2.68E-90,8.73E-88,9.235836076,2.287419605,8.41500197,8.32253727,8.44278447,8.38684985,5.23636529,5.32840047,5.16273544,5.32493576,510,653,675,548,3,5,3,10,0.051509149,-134.8967447,134.8967447
285855,"NM_198486,NR_134562,NR_134563",RPL7L1,ribosomal protein L7 like 1,8.836057,7.744223,8.961158,8.409653,108.379004,50.201712,109.026064,159.457796,10.73723854,2755.933952,0.32224961,10.62701392,2.23E-26,6.64E-25,8.875474765,12.29983972,9.73351272,9.74042162,9.74234528,9.78935987,11.75618626,10.99823811,11.7609622,12.11938078,377,536,494,455,4462,1950,5907,10031,0.025582669,133.8548731,133.8548731
8614,NM_003714,STC2,stanniocalcin 2,94.091576,91.801231,95.447525,90.97702,0.46682,0.089576,0.475622,0.077527,-384.6416469,3610.47966,0.518158514,-16.57286512,1.09E-61,1.41E-59,12.81421402,4.232576159,11.81229794,11.93760758,11.82849921,11.92316067,8.11060495,7.93291318,8.11117901,7.90985851,5605,8851,7343,6874,27,5,37,7,0.064115569,-133.8463973,133.8463973
89796,"NM_001167738,NM_020443",NAV1,neuron navigator 1,56.344247,52.25052,55.742178,51.156321,2.019874,2.113298,2.171262,1.689626,-30.64267878,5006.64657,0.115888031,-42.60552585,0,0,13.24320599,8.308694099,12.53227345,12.55172883,12.47180592,12.54754303,9.82556232,9.81257644,9.85844369,9.72437879,8065,11539,9806,9046,283,268,399,360,0.036978931,-133.4411707,133.4411707
84929,"NM_001145106,NM_032843",FIBCD1,fibrinogen C domain containing 1,15.05899,12.566187,16.388273,12.915935,0.89288,0.331221,0.872111,0.216975,-27.92734998,342.7818939,0.404592998,-11.87268885,1.64E-32,6.60E-31,9.370054463,4.576168918,8.65446962,8.61703439,8.70407634,8.63733428,6.34821854,5.92734847,6.32397009,5.78545488,548,740,742,595,32,11,41,12,0.037191769,-128.8964111,128.8964111
2318,"NM_001127487,NM_001458",FLNC,filamin C,0.019246,0.086216,0.074518,0.030352,14.494173,39.322701,13.141016,38.192287,393.6413549,1475.27209,0.550707572,15.65393037,3.12E-55,3.14E-53,2.862479295,11.52320493,6.64386196,6.79198233,6.74169571,6.66956924,9.96405073,10.98367245,9.86468368,10.95542276,2,15,10,4,1431,3646,1709,5722,0.067631284,128.0579798,128.0579798
54509,NM_019034,RHOF,"ras homolog family member F, filopodia associated",0.820503,0.705558,0.844256,0.844004,41.170048,29.708389,39.202534,31.138752,36.97484966,546.888106,0.227318216,22.91269244,3.47E-116,2.26E-113,4.851389855,10.05651362,6.5684983,6.53669771,6.56072233,6.63214691,9.48342304,9.11821078,9.43324464,9.17028833,23,31,30,30,1083,735,1358,1246,0.040735009,127.7801057,127.7801057
135228,"NM_001159587,NM_001159588,NM_133493",CD109,CD109 molecule,56.54874,57.372186,66.508178,50.489014,0.025138,0.031258,0.022462,0.010253,-2884.821957,3810.468217,0.456323766,-25.18884051,5.31E-140,5.96E-137,12.89522226,1.485824764,11.82367918,11.99086672,11.99518696,11.84885186,7.84017048,7.84229004,7.82171003,7.8055644,5771,9469,8739,6529,3,3,3,2,0.09110484,-125.2337143,125.2337143
256364,"NM_001300793,NM_001300794,NM_153265",EML3,echinoderm microtubule associated protein like 3,17.874212,15.935376,18.076747,15.78794,8.020341,8.672372,9.477586,8.60997,-2.271545794,572.2287326,0.095930651,-12.33885502,5.59E-35,2.61E-33,9.634741503,8.44913126,9.39704209,9.4206002,9.40742812,9.40938074,8.6687552,8.70095944,8.79632264,8.70032114,649,935,847,727,282,286,438,461,0.009653536,-122.8161588,122.8161588
10577,NM_006432,NPC2,NPC intracellular cholesterol transporter 2,446.514435,387.861176,437.055725,377.845367,170.087616,107.677673,182.852188,114.609039,-3.33510052,3468.254156,0.216708128,-8.018758962,1.07E-15,1.54E-14,12.38165571,10.64393846,12.07420905,12.07549802,12.05497933,12.0470276,11.17741466,10.81163015,11.23436367,10.8573804,4466,6278,5645,4793,1648,982,2333,1689,0.014157113,-122.7451685,122.7451685
100642175,NR_131221,SPRY4-IT1,SPRY4 intronic transcript 1,0.12763,0.156141,0.195685,0.100634,2.015534,0.408939,2.101321,0.949442,8.154475332,6.84638184,0.862211326,3.511426913,0.000445708,0.001281527,0.561005128,3.6108733,2.18551442,2.20880571,2.225446,2.16912252,3.07185232,2.36235655,3.08200491,2.64287653,1,2,2,1,16,3,21,11,0.024882556,122.5705358,122.5705358
