ID	Gene description	Gene_symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000005102	mesenchyme homeobox 1	MEOX1	V$MEOX1_04,V$MEOX1_06	0.15476190476190477	0.08853360838920406	1.971215628507295	0.99535	0.012898958329166066
ENSG00000005513	SRY (sex determining region Y)-box 8	SOX8	V$SOX8_06,V$SOX8_07,V$SOX_Q6	0.12301587301587302	0.07277519912898973	2.656325649394805	0.8262	0.03135743626382461
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_02,V$ZNF582_03,V$ZNF582_04	0.8928571428571429	0.7254598590338662	3.2178618032011355	0.7662000000000001	0.005504029920253807
ENSG00000020633	runt-related transcription factor 3	RUNX3	V$AML2_01,V$AML2_02,V$AML2_03,V$AML2_Q3,V$AML2_Q3_01,V$AML2_Q4,V$AML_Q4,V$AML_Q6,V$PEBP_Q6,V$RUNX3_01,V$RUNX3_02,V$RUNX3_03,V$RUNX3_04,V$RUNX3_05	1.6921768707482994	1.264520248532626	2.1761606214232816	0.8679714285714286	4.13137206970685E-4
ENSG00000028277	POU class 2 homeobox 2	POU2F2	V$POU2F2_06,V$POU2F2_09,V$POU2F2_10	0.1865079365079365	0.13237063778580024	4.387942548970297	0.9292333333333334	0.04275930147887761
ENSG00000030419	IKAROS family zinc finger 2 (Helios)	IKZF2	V$HELIOSA_01,V$HELIOS_02	6.830357142857142	6.1432009626955475	2.5744898882042664	0.92135	0.006675927048092521
ENSG00000061455	PR domain containing 6	PRDM6	V$PRDM6_01	0.04761904761904762	0.010314595152140279	4.616666666666667	1.0	0.005097963876032318
ENSG00000071794	helicase-like transcription factor	HLTF	V$RUSH1A_02	0.09523809523809525	0.04985387656867801	1.9103448275862072	0.9979	0.030936515455548468
ENSG00000073282	tumor protein p63	TP63	V$P63_01,V$TP63_02	6.348214285714286	5.837201306515387	1.8117486963793783	0.7677	0.009615234635777096
ENSG00000075407	zinc finger protein 37A	ZNF37A	V$ZNF37A_01,V$ZNF37A_02,V$ZNF37A_03,V$ZNF37A_04	3.8392857142857144	3.32129963898917	2.064584768155161	0.833425	0.01371408447220018
