ID	Gene symbol ID	Transpath ID
ENSG00000005339	CREBBP	MO000057745
ENSG00000025156	HSF2	MO000084504,MO000084506
ENSG00000026103	FAS	MO000004928
ENSG00000033800	PIAS1	MO000030911,MO000079236
ENSG00000034152	MAP2K3	MO000009403,MO000022217,MO000078695
ENSG00000039068	CDH1	MO000016977
ENSG00000050748	MAPK9	MO000030859,MO000030860,MO000031000,MO000256146
ENSG00000051523	CYBA	MO000161481
ENSG00000055130	CUL1	MO000044588
ENSG00000055332	EIF2AK2	MO000008180,MO000094946
ENSG00000064012	CASP8	MO000020219,MO000021036
ENSG00000065559	MAP2K4	MO000021423,MO000030904,MO000041374
ENSG00000068024	HDAC4	MO000059566
ENSG00000069956	MAPK6	MO000004681,MO000137417
ENSG00000070770	CSNK2A2	MO000018901,MO000033264
ENSG00000072401	UBE2D1	MO000020073
ENSG00000072786	STK10	MO000045420
ENSG00000076984	MAP2K7	MO000022227
ENSG00000078043	PIAS2	MO000060747,MO000082840,MO000082846
ENSG00000078140	UBE2K	MO000019949
ENSG00000078747	ITCH	MO000038235,MO000082690
ENSG00000078902	TOLLIP	MO000039099
ENSG00000079387	SENP1	MO000093578
ENSG00000080823	MOK	MO000215353
ENSG00000082175	PGR	MO000333495
ENSG00000082701	GSK3B	MO000016989
ENSG00000083799	CYLD	MO000041170
ENSG00000085276	MECOM	MO000033253
ENSG00000085511	MAP3K4	MO000032664,MO000084676
ENSG00000087586	AURKA	MO000032481,MO000082438
ENSG00000088832	FKBP1A	MO000021148
ENSG00000091436	MAP3K20	MO000036570,MO000036572,MO000036573
ENSG00000095015	MAP3K1	MO000009086
ENSG00000096717	SIRT1	MO000023365
ENSG00000097007	ABL1	MO000020628
ENSG00000100030	MAPK1	MO000004677,MO000034342
ENSG00000100348	TXN2	MO000058368
ENSG00000100365	NCF4	MO000161481
ENSG00000100393	EP300	MO000019985,MO000056654
ENSG00000100401	RANGAP1	MO000035098
ENSG00000100811	YY1	MO000025267
