ID	Gene description	Gene_symbol_1	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_03,V$ZFX_04	0.8522727272727273	0.658024286183131	1.9298833914559723	0.74995	0.03152539350401721
ENSG00000006704	GTF2I repeat domain containing 1	GTF2IRD1	V$BEN_01	0.4772727272727273	0.27896291434197573	1.7108823529411765	0.99	0.003798568011714564
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_09,V$E2F2_11	10.880681818181818	7.912701017394158	3.292870844982914	0.8743	2.5552906478163518E-15
ENSG00000009709	paired box 7	PAX7	V$PAX7_03,V$PAX7_11,V$PAX7_14	0.22727272727272727	0.13018269335958865	1.9136709197235515	0.8398	0.03361309841341391
ENSG00000011332	D4, zinc and double PHD fingers family 1	DPF1	V$NEUD4_01,V$NEUD4_02	0.1875	0.1099442074171316	2.9335069444444444	0.9274	0.035969816152643386
ENSG00000011590	zinc finger and BTB domain containing 32	ZBTB32	V$ZBTB32_02	0.26136363636363635	0.11158516573679028	2.342279411764706	0.7136	0.0017990267690431493
ENSG00000018869	zinc finger protein 582	ZNF582	V$ZNF582_01,V$ZNF582_02,V$ZNF582_04	0.3863636363636364	0.26583524778470624	1.5702425458983773	0.8072333333333334	0.048708245875536134
ENSG00000020256	ZFP64 zinc finger protein	ZFP64	V$ZFP64_04,V$ZFP64_05,V$ZFP64_06,V$ZFP64_07	3.252840909090909	2.9520840170659666	4.991206455879843	0.753	0.017314815844538752
ENSG00000030419	IKAROS family zinc finger 2 (Helios)	IKZF2	V$HELIOSA_01,V$HELIOS_01,V$HELIOS_02	5.424242424242425	4.623126572585057	1.6295259907460007	0.8565333333333335	0.03584118600272172
ENSG00000037965	homeobox C8	HOXC8	V$HOXC8_04	0.40909090909090906	0.2034788316376764	2.0104838709677417	0.9927	9.188971644504014E-4
ENSG00000039600	SRY (sex determining region Y)-box 30	SOX30	V$SOX30_05,V$SOX30_06	0.22159090909090906	0.10830324909747292	2.004605263157895	0.99705	0.03555982625584717
ENSG00000050344	nuclear factor (erythroid-derived 2)-like 3	NFE2L3	V$MAF_Q6_01,V$NRF3_02	0.40340909090909094	0.2559894978667542	1.8522872468659597	0.8633500000000001	0.023159830814355385
ENSG00000065970	forkhead box J2	FOXJ2	V$FOXJ2_04	0.32954545454545453	0.1870692484410896	1.7616228070175437	0.9712	0.010787316042929377
ENSG00000067646	zinc finger protein, Y-linked	ZFY	V$ZFY_01	0.4659090909090909	0.2756809977026583	1.6900297619047622	0.6919	0.004935925736830816
ENSG00000067955	core-binding factor, beta subunit	CBFB	V$AML_Q6,V$PEBP2B_Q6,V$PEBP_Q6	0.8598484848484849	0.5612077453232688	1.7417777894810758	0.9248333333333333	0.0017209057291212148
ENSG00000072736	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	NFATC3	V$NFATC3_03,V$NFATC3_04,V$NFATC3_05,V$NFATC3_06,V$NFATC3_07,V$NFAT_Q4_01	1.0852272727272727	0.72967946614156	2.9866849333224565	0.84475	0.018461381402617643
ENSG00000074219	TEA domain family member 2	TEAD2	V$TEAD2_01,V$TEAD2_02,V$TEAD2_03	1.3106060606060606	1.0742807132698828	2.767662643567841	0.8970333333333333	0.019508391367301745
ENSG00000075426	FOS-like antigen 2	FOSL2	V$AP1_Q4_01,V$AP1_Q6_01,V$FOSL2_02,V$FRA2_01,V$FRA2_03,V$FRA2_04,V$FRA2_Q4_01,V$JUNBFRA2_01,V$JUNDFRA2_01,V$JUNFRA2_01	0.9045454545454547	0.6885461109287825	1.746300692675457	0.9161499999999998	0.01457889424023539
ENSG00000077092	retinoic acid receptor, beta	RARB	V$RARB_03,V$RARB_05,V$RARB_06,V$RARB_08,V$T3R_Q6	1.159090909090909	0.9202494256645881	5.379351074462769	0.9147000000000001	0.02178621296435224
ENSG00000080298	regulatory factor X, 3 (influences HLA class II expression)	RFX3	V$RFX3ETV7_01,V$RFX3FIGLA_02,V$RFX3HES7_01,V$RFX3_06,V$RFX3_11,V$RFX3_13	2.162878787878788	1.7793458046165629	2.009322528332238	0.72965	0.014696017523771815
ENSG00000081386	zinc finger protein 510	ZNF510	V$ZNF510_02	0.5113636363636364	0.31506399737446666	1.623046875	0.7833	0.005907456122804654
ENSG00000082641	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	V$MAF_Q4,V$MAF_Q6_01	0.20454545454545453	0.0853298326222514	2.421486928104575	0.94545	0.006826215611537558
ENSG00000083828	zinc finger protein 586	ZNF586	V$ZNF586_03,V$ZNF586_04,V$ZNF586_05	0.7159090909090908	0.49994530138934473	1.5487318883376646	0.7715333333333333	0.014922625280211448
ENSG00000085276	MDS1 and EVI1 complex locus	MECOM	V$EVI1_09,V$EVI1_10	0.3579545454545454	0.2182474565146045	1.9694280303030305	0.81875	0.0461055756837042
ENSG00000087903	regulatory factor X, 2 (influences HLA class II expression)	RFX2	V$RFX2_01,V$RFX2_10,V$RFX2_11	1.2348484848484849	0.8500164095831965	1.5776438779618127	0.7554	0.002986219264135838
ENSG00000088881	early B-cell factor 4	EBF4	V$EBF4_02	0.17045454545454547	0.059074499507712507	2.885416666666667	0.6888	0.0028187068947584416
ENSG00000089116	LIM homeobox 5	LHX5	V$LHX5_05	0.45454545454545453	0.2559894978667542	1.7756410256410255	0.986	0.002847579574544771
ENSG00000090447	transcription factor AP-4 (activating enhancer binding protein 4)	TFAP4	V$AP4_01,V$AP4_03,V$AP4_Q5,V$AP4_Q6,V$AP4_Q6_01,V$AP4_Q6_02,V$TFAP4DLX3_01,V$TFAP4ETV1_01,V$TFAP4ETV4_01,V$TFAP4FLI1_01,V$TFAP4_02,V$TFAP4_03,V$TFAP4_05,V$TFAP4_07,V$TFAP4_09	4.304545454545454	3.7282573022645225	1.8562470613699331	0.8503133333333331	0.006840426652797922
