ID	Symbol	Total count	V$AP1_01	V$AP1_02	V$AP1_Q4_01	V$AP1_Q6_01	V$BATFJUN_01	V$BETACATENIN_Q3	V$BETACATENIN_Q3_01	V$BETACATENIN_Q6	V$BETACATENIN_Q6_01	V$CFOS_Q4	V$CFOS_Q6	V$E12_Q6	V$E2A_03	V$E2A_04	V$E2A_Q2	V$E2A_Q6_01	V$E2A_Q6_02	V$E47_01	V$E47_02	V$FLI1TCF3_01	V$FOSJUN_02	V$FOS_02	V$FOS_03	V$FOS_06	V$FOS_10	V$FOS_11	V$FOXM1_01	V$FOXM1_Q3	V$HAND1E47_01	V$HOXB2TCF3_01	V$JUNBFOS_01	V$JUNBJUN_01	V$JUNDFOS_01	V$JUNFOSB_01	V$JUNFRA1_01	V$JUNFRA2_01	V$JUN_03	V$JUN_04	V$JUN_06	V$JUN_08	V$JUN_09	V$MATH1_Q2	V$MIZ1_01	V$MYOD_Q6_01	V$NFKAPPAB_01	V$P50RELAP65_Q5_01	V$RELA_03	V$RELA_08	V$RELBP52_01	V$SNA_01	V$SNA_02	V$SNA_04	V$SNA_05	V$SNA_Q4	V$STAT3STAT3_Q3	V$TAL1BETAE47_01	V$TCF4_Q5_02	V$TEAD4TCF3_01
ENSG00000196754	S100A2	190	0	2	0	0	5	0	0	2	0	0	0	3	3	0	1	0	2	5	3	0	8	2	11	4	7	4	0	1	18	3	7	10	9	9	6	10	1	7	6	2	0	0	0	0	0	3	8	2	1	3	3	3	3	0	0	8	0	5
ENSG00000173156	RHOD	173	0	0	0	0	4	0	0	0	0	0	0	4	4	1	3	1	1	5	4	0	5	0	3	4	0	0	0	0	21	3	4	4	4	5	0	5	0	5	0	0	0	0	10	1	2	12	22	3	0	6	6	6	5	1	0	7	0	2
ENSG00000156711	MAPK13	172	1	2	0	1	4	0	1	3	0	1	1	0	3	0	0	0	0	6	2	2	7	2	8	4	5	2	0	0	23	3	6	8	6	8	6	8	0	5	4	2	1	1	5	0	0	2	10	0	0	2	2	2	1	0	0	6	1	5
ENSG00000197249	SERPINA1	172	0	0	0	0	0	0	1	1	1	0	0	2	4	1	0	1	0	8	2	0	4	0	7	1	3	1	0	0	24	5	1	6	3	6	1	7	0	1	2	2	1	0	7	1	0	6	26	1	0	8	7	6	3	0	0	8	1	2
ENSG00000047410	TPR	168	0	2	0	0	5	0	0	2	0	0	0	1	1	0	1	0	1	2	1	2	8	2	17	3	6	4	0	1	14	2	5	9	7	9	4	10	1	5	5	2	0	0	7	1	0	0	13	2	0	2	2	1	1	1	0	6	0	0
ENSG00000105329	TGFB1	161	0	0	0	0	0	1	1	3	0	0	0	0	1	0	0	1	1	5	1	0	4	0	3	1	3	1	0	0	16	1	2	4	4	4	2	5	0	2	1	2	0	0	21	0	2	11	37	2	0	6	4	4	1	0	0	4	0	0
ENSG00000168685	IL7R	159	4	4	1	2	4	1	2	6	2	2	2	1	1	0	0	0	0	1	1	0	4	4	9	4	4	4	0	0	17	3	4	4	4	4	4	4	0	4	2	4	1	0	2	1	2	5	9	1	0	2	2	3	1	0	0	8	2	3
ENSG00000077312	SNRPA	148	1	2	1	1	4	0	2	2	1	1	0	1	1	0	1	0	1	4	1	1	5	2	7	4	5	1	0	0	18	3	4	7	6	5	3	6	0	4	3	2	0	0	2	0	0	1	11	2	1	4	4	4	2	0	0	4	2	1
ENSG00000132670	PTPRA	142	0	0	0	0	0	0	0	2	0	0	0	1	3	1	0	0	0	8	4	0	6	0	6	1	3	1	0	1	24	4	2	5	5	4	1	7	0	2	2	2	0	0	9	0	0	4	9	0	0	5	5	5	1	0	0	8	0	1
ENSG00000100106	TRIOBP	141	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	5	2	5	3	4	3	0	0	27	1	3	6	6	5	3	7	0	3	3	3	0	0	4	0	0	3	16	0	0	6	6	5	2	0	0	1	0	0
