ID	Symbol	Sites view	Total count	V$CEBPD_03	V$ETV2CEBPD_01	V$MYOGNF1_01	V$NF1C_01	V$NF1C_03	V$NF1_Q6	V$NFKAPPAB65_01	V$NFKAPPAB_01	V$NFKB1_Q4	V$NFKB_Q6_01	V$P50RELAP65_Q5_01	V$RELA_02	V$RELA_03	V$RELA_06	V$RELA_08	V$RELA_Q6	V$RELBP52_01
ENSG00000116017	ARID3A	DataElement[ENSG00000116017] class=class ru.biosoft.bsa.project.ProjectAsLists	113	1	0	0	0	0	0	3	4	2	6	21	0	63	0	6	6	1
ENSG00000048392	RRM2B	DataElement[ENSG00000048392] class=class ru.biosoft.bsa.project.ProjectAsLists	108	0	0	1	0	0	0	4	3	4	10	25	0	40	0	7	10	4
ENSG00000075643	MOCOS	DataElement[ENSG00000075643] class=class ru.biosoft.bsa.project.ProjectAsLists	102	0	0	2	0	0	0	4	3	3	11	16	0	51	0	2	7	3
ENSG00000136603	SKIL	DataElement[ENSG00000136603] class=class ru.biosoft.bsa.project.ProjectAsLists	102	0	0	3	1	0	0	4	3	1	6	13	0	64	0	2	5	0
ENSG00000123384	LRP1	DataElement[ENSG00000123384] class=class ru.biosoft.bsa.project.ProjectAsLists	101	0	0	1	0	0	0	1	2	3	7	18	0	61	0	2	5	1
ENSG00000109320	NFKB1	DataElement[ENSG00000109320] class=class ru.biosoft.bsa.project.ProjectAsLists	100	0	0	2	0	0	0	8	6	9	10	12	2	28	1	7	11	4
ENSG00000197386	HTT	DataElement[ENSG00000197386] class=class ru.biosoft.bsa.project.ProjectAsLists	100	0	0	5	1	1	0	1	3	2	6	12	0	59	0	3	5	2
ENSG00000005339	CREBBP	DataElement[ENSG00000005339] class=class ru.biosoft.bsa.project.ProjectAsLists	98	0	0	0	0	0	0	4	4	4	7	17	2	48	0	3	6	3
ENSG00000152465	NMT2	DataElement[ENSG00000152465] class=class ru.biosoft.bsa.project.ProjectAsLists	98	0	0	1	0	0	0	4	2	4	6	14	1	54	1	3	5	3
ENSG00000161638	ITGA5	DataElement[ENSG00000161638] class=class ru.biosoft.bsa.project.ProjectAsLists	97	1	0	2	2	1	0	8	5	8	9	11	3	26	0	5	12	4
ENSG00000072062	PRKACA	DataElement[ENSG00000072062] class=class ru.biosoft.bsa.project.ProjectAsLists	94	1	1	4	2	0	0	4	4	3	6	14	0	42	0	5	5	3
ENSG00000170027	YWHAG	DataElement[ENSG00000170027] class=class ru.biosoft.bsa.project.ProjectAsLists	93	0	0	0	0	0	0	3	4	1	7	14	1	45	0	4	7	7
ENSG00000115414	FN1	DataElement[ENSG00000115414] class=class ru.biosoft.bsa.project.ProjectAsLists	90	0	1	0	0	0	0	2	3	5	5	18	1	40	0	2	13	0
ENSG00000090339	ICAM1	DataElement[ENSG00000090339] class=class ru.biosoft.bsa.project.ProjectAsLists	87	0	0	0	0	0	0	2	2	4	4	10	2	49	0	5	5	4
ENSG00000175387	SMAD2	DataElement[ENSG00000175387] class=class ru.biosoft.bsa.project.ProjectAsLists	87	0	0	1	0	0	0	3	2	3	8	15	0	39	0	4	10	2
ENSG00000125743	SNRPD2	DataElement[ENSG00000125743] class=class ru.biosoft.bsa.project.ProjectAsLists	78	0	0	1	0	0	0	2	0	4	7	13	0	41	0	2	5	3
ENSG00000146648	EGFR	DataElement[ENSG00000146648] class=class ru.biosoft.bsa.project.ProjectAsLists	78	0	0	0	1	0	0	5	5	2	6	10	1	36	0	4	6	2
ENSG00000163235	TGFA	DataElement[ENSG00000163235] class=class ru.biosoft.bsa.project.ProjectAsLists	75	0	0	1	2	0	1	6	0	4	4	8	0	38	0	2	9	0
ENSG00000253729	PRKDC	DataElement[ENSG00000253729] class=class ru.biosoft.bsa.project.ProjectAsLists	75	0	0	1	0	0	0	5	2	4	8	10	1	32	0	5	5	2
ENSG00000100393	EP300	DataElement[ENSG00000100393] class=class ru.biosoft.bsa.project.ProjectAsLists	74	0	1	4	1	0	0	4	2	1	6	14	0	29	0	4	6	2
ENSG00000164104	HMGB2	DataElement[ENSG00000164104] class=class ru.biosoft.bsa.project.ProjectAsLists	74	0	0	0	0	0	0	4	4	5	8	13	4	20	1	3	9	3
