ID	Gene description	Gene symbol	Site model ID	Yes density per 1000bp	No density per 1000bp	Yes-No ratio	Model cutoff	P-value
ENSG00000001167	nuclear transcription factor Y, alpha	NFYA	V$ALPHACP1_01,V$NFYA_02,V$NFYA_03,V$NFYA_04,V$NFYA_05,V$NFYA_Q5,V$NFY_01,V$NFY_C,V$NFY_Q3,V$NFY_Q6,V$NFY_Q6_01	1.9404958677685948	1.5980500437978442	1.528734365349426	0.8479727272727273	0.01742092671644271
ENSG00000004848	aristaless related homeobox	ARX	V$ARX_01,V$ARX_03	2.993939393939394	2.3418516966904064	1.7325152260919283	0.79905	0.0019658876283728498
ENSG00000005102	mesenchyme homeobox 1	MEOX1	V$MEOX1_02,V$MOX1_01	2.5393939393939395	1.7364893171344786	1.8031419457735247	0.8535999999999999	1.0038562258311182E-6
ENSG00000005801	zinc finger protein 195	ZNF195	V$ZNF195_02	2.496969696969697	2.228739002932551	1.1203508771929827	0.7986	0.0904006919233435
ENSG00000005889	zinc finger protein, X-linked	ZFX	V$ZFX_01,V$ZFX_03,V$ZFX_04,V$ZFX_05	4.836363636363636	4.371596145789694	3.0481652096486966	0.8488	0.026904046647926727
ENSG00000006194	zinc finger protein 263	ZNF263	V$FPM315_01,V$FPM315_02,V$FPM315_03,V$ZNF263_01,V$ZNF263_02	8.087272727272728	6.6476749057394215	1.2167495088584157	0.7715	4.276498566540787E-4
ENSG00000006377	distal-less homeobox 6	DLX6	V$DLX6_01	0.9333333333333333	0.5529953917050692	1.6877777777777776	0.9912	2.433851332012602E-4
ENSG00000006468	ets variant 1	ETV1	V$ER81_03,V$ER81_04,V$GCM1ETV1_01,V$TFAP4ETV1_01	13.251515151515152	11.645370758273986	1.1405493954975177	0.744575	0.00808790905507259
ENSG00000006704	GTF2I repeat domain containing 1	GTF2IRD1	V$BEN_01,V$BEN_02	4.048484848484849	3.588186007540846	2.296710382513661	0.9266	0.022917929759711735
ENSG00000007372	paired box 6	PAX6	V$PAX6_01,V$PAX6_02,V$PAX6_05_01	3.9676767676767675	3.260717776846809	1.3652308485903213	0.7416	0.011408051704944288
ENSG00000007866	TEA domain family member 3	TEAD3	V$TEAD3_02	2.6787878787878787	2.36279849183075	1.1337352245862884	0.8612	0.06260832045403301
ENSG00000007968	E2F transcription factor 2	E2F2	V$E2F2_05	0.03636363636363636	0.0041893590280687055	8.68	0.7963	0.05472226870207252
ENSG00000008196	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	TFAP2B	V$AP2BETA_Q3,V$AP2_Q3,V$AP2_Q4,V$AP2_Q6,V$AP2_Q6_01,V$TFAP2B_02,V$TFAP2B_03,V$TFAP2B_04	16.227272727272727	14.011834939254296	1.1712860730092887	0.81375	9.384828862409069E-4
ENSG00000008197	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)	TFAP2D	V$AP2_Q4	28.157575757575756	24.70046082949309	1.1399615558570781	0.8631	6.275375394064053E-8
ENSG00000008441	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	V$MYOGNF1_01,V$NFIX_02	0.5757575757575757	0.43150397989107664	2.6586998341625208	0.81635	0.02767538165508627
ENSG00000009709	paired box 7	PAX7	V$PAX7_01,V$PAX7_03	1.8181818181818183	1.2505236698785087	1.7924552845528456	0.82785	0.0010995960087399079
